row ID;row m/z;row retention time;AF_G_X6_C8;AF_G_187_C8;AF_G_193_C8;AF_G_X5_C8;AF_G_191_C8;AF_G_070_C8;AF_G_X3_C8;AF_G_X4_C8;AF_G_178_C8;AM_G_155_C8;AM_G_194_C8;AM_G_175_C8;AM_G_165_C8;AM_G_180_C8;AM_G_189_C8;AM_G_163_C8;AM_G_167_C8;AM_G_181_C8;HM_G_150_C8;HM_G_169_C8;HM_G_162_C8;HM_G_112_C8;HM_G_X1_C8;HM_G_158_C8;HM_G_159_C8;HM_G_172_C8;HM_G_005_C8;HF_G_195_C8;HF_G_196_C8;HF_G_182_C8;HF_G_201_C8;HF_G_184_C8;HF_G_100_C8;HF_G_170_C8;HF_G_X2_C8;HF_G_082_C8;1_C8;2_C8
1;49;4,28;1,45E+07;2,69E+07;1,92E+07;8800895,218;1,27E+07;7639325,92;1,26E+07;5301605,078;7197879,581;6103460,995;1,64E+07;6423754,923;9452537,822;6010048,898;8059961,022;1,51E+07;1,64E+07;9084748,619;1,97E+07;0,00E+00;2,24E+07;1,29E+07;1,43E+07;4,21E+07;2,09E+07;4,75E+07;1,89E+07;0;0,00E+00;3,23E+07;3,20E+07;2,92E+07;2,60E+07;1,36E+07;4,62E+07;2,69E+07;1,32E+07;1,45E+07
2;43,1;4,65;3,28E+08;3,14E+08;2,15E+08;2,73E+08;2,78E+08;2,17E+08;1,31E+09;2,77E+08;1,64E+08;2,59E+08;3,55E+08;2,32E+08;2,21E+08;7,85E+07;1,45E+08;1,79E+08;1,47E+08;1,97E+08;3,04E+09;0,00E+00;3,16E+08;1,98E+08;3,02E+08;3,40E+09;1,70E+09;8,63E+08;5,36E+08;0;0,00E+00;3,98E+08;3,91E+08;4,67E+08;4,96E+08;1,70E+08;5,75E+09;1,56E+08;2,80E+08;3,05E+08
3;43,1;4,76;7,29E+08;2,96E+09;2,87E+09;2,62E+09;2,95E+09;2,13E+08;2,82E+09;3,12E+08;1,85E+09;2,65E+09;3,04E+09;1,56E+09;2,59E+09;1,56E+09;1,18E+09;2,67E+09;2,88E+09;2,36E+09;3,46E+09;0,00E+00;3,44E+09;1,96E+08;1,31E+09;3,82E+09;3,52E+09;5,10E+09;3,59E+09;3228503,923;0,00E+00;3,70E+09;9,65E+07;2,28E+09;1,53E+09;3,58E+09;1,65E+09;1,33E+09;2,83E+09;3,12E+08
4;44,1;13,24;3914091,773;0,00E+00;0,00E+00;0;4050951,683;0;0,00E+00;3944432,147;0,00E+00;3166353,269;0,00E+00;3197098,192;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5084741,711;5204163,571
5;43,1;14,1;4907371,474;4827857,818;5155160,691;3430980,834;7085061,738;5823394,003;4991763,949;3293757,453;7079714,625;2830964,314;5640878,484;4555419,492;4372989,759;7470372,548;4183766,478;4751700,257;7309874,129;3481530,583;1,18E+07;4519279,717;1,19E+07;1,43E+07;4953929,253;1,97E+07;1,57E+07;8,71E+07;2,19E+07;46353,37951;3183045,695;1,16E+07;1,71E+07;3,14E+07;8361885,678;2,11E+07;4,46E+07;3,41E+07;6349577,327;8952339,466
6;44,1;18,65;2880767,545;3782243,481;3191503,964;2560812,595;0,00E+00;0;0,00E+00;2509908,538;0,00E+00;2327301,087;0,00E+00;2332419,806;0,00E+00;0,00E+00;2703338,763;3422977,376;0,00E+00;2364133,356;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1674193,339;0,00E+00;0;3507384,649;0,00E+00;0,00E+00;2397571,401;0,00E+00;0,00E+00;474678,1562;1830646,9;0,00E+00;0,00E+00
8;58,1;4,08;247164,7654;2,06E+07;104542,0626;232892,084;736856,1326;7335087,428;43671,67032;397614,286;541973,0855;294950,0524;1,10E+07;125859,0322;101673,4389;410243,5597;231432,97;3,86E+07;6899101,879;1224884,891;409973,0093;0,00E+00;115999,5762;166122,7146;108108,0195;2,82E+07;634838,3634;4,49E+07;357939,3914;0;0,00E+00;4,36E+07;8207889,79;2,53E+07;283396,6779;4488516,899;734275,8143;791175,4256;3307,537431;4728,864686
9;49;8,03;2059728,996;2363066,716;2812569,261;1651412,596;2000501,131;1799067,426;2248501,86;1154937,575;1717399,065;1338147,63;1904189,342;1527273,86;1534399,359;1847432,086;2179879,507;2084100,874;2875769,213;1374939,483;2712452,375;3599215,739;2152063,025;2964413,873;854474,3053;6226146,285;3783405,749;1,04E+07;3993683,97;1720249,367;3770171,475;3127812,571;3289933,476;7993945,91;2925828,788;4402889,952;5996411,034;4674065,614;1300485,862;3061086,129
11;49;4,28;1,42E+07;2,59E+07;1,88E+07;8840803,314;1,26E+07;9467217,921;1,25E+07;5297495,958;7062681,043;6103460,995;1,63E+07;6375912,721;9129286,922;3923865,886;7969977,656;1,50E+07;1,61E+07;9106689,676;1,86E+07;0,00E+00;2,20E+07;1,23E+07;1,42E+07;4,04E+07;1,92E+07;4,40E+07;1,72E+07;0;0,00E+00;3,15E+07;3,03E+07;2,88E+07;2,57E+07;1,31E+07;4,15E+07;2,43E+07;1,31E+07;1,44E+07
12;43,1;4,74;3,03E+09;3,11E+09;2,28E+08;4,12E+08;0,00E+00;0,00E+00;2,91E+09;2,87E+09;0,00E+00;2,33E+09;0,00E+00;2,54E+09;1,55E+09;3,08E+09;2,53E+09;1,98E+08;3,05E+09;2,63E+09;0,00E+00;0,00E+00;1,90E+09;0,00E+00;1,82E+09;0,00E+00;7,37E+08;2,67E+09;3,98E+09;3775511,177;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;3,14E+08;5,41E+09;3,19E+09;2,82E+08;2,95E+09
