
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,949;  210,396;  218,316;183,75326
 176,32;  243,731;  240,998;  232,879; 0,00000
 176,92;  268,304;  269,139;  280,014;-7,67549
 177,52;  281,379;  269,016;  290,032;58,82802
 178,12;  250,372;  261,249;  235,645; 0,00000
 178,72;  279,106;  279,243;  265,313; 0,00000
 179,32;  273,343;  285,873;  269,707; 0,00000
 179,92;  265,521;  264,882;  266,541;38,53433
 180,52;  244,142;  254,907;  264,527;-111,91639
 181,12;  271,653;  275,258;  261,354; 0,00000
 181,73;  291,975;  295,635;  291,278; 0,00000
 182,33;  387,197;  392,023;  390,552; 0,00000
 182,93;  304,703;  290,891;  290,094; 0,00000
 183,53;  252,178;  252,740;  249,295; 0,00000
 184,13;  257,442;  255,743;  244,797; 0,00000
 184,73;  300,340;  311,487;  290,606; 0,00000
 185,33;  306,450;  259,857;  362,051;45,59290
 185,93;  305,175;  252,591;  372,759;43,75857
 186,53;  324,715;  271,100;  394,921;43,30067
 187,13;  346,946;  280,617;  417,713;48,38146
 187,73;  309,923;  267,969;  383,120;36,43424
 188,33;  310,081;  262,085;  379,270;40,95785
 188,93;  327,097;  286,806;  384,626;41,18850
 189,53;  313,607;  271,660;  395,440;33,88833
 190,13;  348,727;  304,874;  431,995;34,49716
 190,73;  292,728;  229,398;  369,339;45,25500
 191,34;  329,733;  281,048;  425,902;33,60974
 191,94;  300,499;  245,200;  379,248;41,25290
 192,54;  334,806;  272,255;  401,659;48,33791
 193,14;  337,301;  279,240;  400,728;47,79147
 193,74;  320,174;  283,487;  398,023;32,03110
 194,34;  318,944;  271,994;  393,574;38,61663
 194,94;  292,500;  233,615;  360,415;46,43885
 195,54;  256,579;  207,483;  327,520;40,90061
 196,14;  275,937;  241,498;  367,827;27,26137
 196,74;  285,186;  229,979;  361,924;41,84065
 197,34;  266,437;  223,133;  353,209;33,29084
 197,94;  306,273;  238,492;  374,995;49,65548
 198,54;  306,049;  248,373;  395,655;39,16037
 199,14;  292,151;  236,139;  373,103;40,89562
