
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,553;  184,647;  202,659;171,58094
 176,32;  238,329;  222,897;  211,946; 0,00000
 176,92;  256,540;  236,022;  234,253; 0,00000
 177,52;  264,787;  247,022;  266,339;91,96645
 178,12;  247,485;  220,272;  216,819; 0,00000
 178,72;  276,490;  254,772;  232,116; 0,00000
 179,32;  251,815;  236,022;  236,650; 0,00000
 179,92;  263,389;  237,272;  239,552;1145,18893
 180,52;  253,569;  227,272;  247,498;130,01693
 181,12;  271,923;  233,897;  247,458;280,39781
 181,73;  278,652;  255,022;  265,840;218,42334
 182,33;  373,089;  298,022;  312,473;519,46926
 182,93;  276,355;  253,272;  263,032;236,49420
 183,53;  250,505;  231,647;  214,044; 0,00000
 184,13;  250,197;  240,772;  231,230; 0,00000
 184,73;  279,994;  260,772;  254,913; 0,00000
 185,33;  283,265;  221,522;  332,987;55,39268
 185,93;  277,719;  240,897;  349,033;34,05176
 186,53;  307,279;  235,397;  360,514;57,45169
 187,13;  328,177;  276,147;  418,944;36,43677
 187,73;  288,755;  221,397;  354,971;50,42774
 188,33;  297,514;  236,147;  369,308;46,08451
 188,93;  305,420;  233,772;  375,642;50,50246
 189,53;  303,560;  250,022;  372,915;43,56423
 190,13;  336,703;  256,647;  403,968;54,34138
 190,73;  291,864;  221,647;  340,553;59,05241
 191,34;  318,916;  260,647;  370,341;53,11994
 191,94;  284,144;  230,772;  342,362;47,82867
 192,54;  298,253;  258,772;  381,996;32,04027
 193,14;  314,005;  253,272;  373,617;50,46523
 193,74;  306,576;  241,272;  359,726;55,13061
 194,34;  309,714;  242,897;  362,007;56,09667
 194,94;  269,573;  212,772;  337,936;45,38106
 195,54;  254,157;  211,022;  325,315;37,74102
 196,14;  266,394;  222,147;  348,806;34,93437
 196,74;  274,573;  215,397;  317,051;58,21364
 197,34;  250,948;  183,272;  330,840;45,86098
 197,94;  266,887;  219,522;  362,590;33,10695
 198,54;  300,505;  234,397;  367,260;49,75652
 199,14;  250,012;  215,397;  360,862;23,79602
