
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,274;  184,647;  202,659;97,86078
 176,32;  239,333;  222,897;  211,946; 0,00000
 176,92;  244,098;  236,022;  234,253; 0,00000
 177,52;  251,132;  247,022;  266,339;21,27861
 178,12;  234,915;  220,272;  216,819; 0,00000
 178,72;  258,053;  254,772;  232,116; 0,00000
 179,32;  242,064;  236,022;  236,650; 0,00000
 179,92;  246,529;  237,272;  239,552;405,89834
 180,52;  254,742;  227,272;  247,498;135,81516
 181,12;  247,030;  233,897;  247,458;96,84459
 181,73;  283,001;  255,022;  265,840;258,62065
 182,33;  310,320;  298,022;  312,473;85,10307
 182,93;  266,557;  253,272;  263,032;136,10910
 183,53;  239,493;  231,647;  214,044; 0,00000
 184,13;  235,371;  240,772;  231,230; 0,00000
 184,73;  268,065;  260,772;  254,913; 0,00000
 185,33;  296,148;  221,522;  332,987;66,94979
 185,93;  283,769;  240,897;  349,033;39,64677
 186,53;  299,090;  235,397;  360,514;50,90681
 187,13;  331,020;  276,147;  418,944;38,42736
 187,73;  286,815;  221,397;  354,971;48,97530
 188,33;  298,919;  236,147;  369,308;47,13987
 188,93;  313,990;  233,772;  375,642;56,54378
 189,53;  316,700;  250,022;  372,915;54,25675
 190,13;  345,096;  256,647;  403,968;60,03806
 190,73;  293,326;  221,647;  340,553;60,28210
 191,34;  318,870;  260,647;  370,341;53,07743
 191,94;  289,853;  230,772;  342,362;52,94463
 192,54;  309,483;  258,772;  381,996;41,15322
 193,14;  323,374;  253,272;  373,617;58,25109
 193,74;  312,265;  241,272;  359,726;59,93310
 194,34;  307,316;  242,897;  362,007;54,08359
 194,94;  283,674;  212,772;  337,936;56,64733
 195,54;  255,961;  211,022;  325,315;39,31909
 196,14;  293,595;  222,147;  348,806;56,40952
 196,74;  277,145;  215,397;  317,051;60,74315
 197,34;  258,405;  183,272;  330,840;50,91422
 197,94;  280,258;  219,522;  362,590;42,45239
 198,54;  289,951;  234,397;  367,260;41,81270
 199,14;  271,817;  215,397;  360,862;38,78617
