
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,625;  184,647;  202,659;160,87872
 176,32;  240,667;  222,897;  211,946; 0,00000
 176,92;  284,983;  236,022;  234,253; 0,00000
 177,52;  279,932;  247,022;  266,339;170,37188
 178,12;  250,434;  220,272;  216,819; 0,00000
 178,72;  275,170;  254,772;  232,116; 0,00000
 179,32;  274,280;  236,022;  236,650; 0,00000
 179,92;  271,329;  237,272;  239,552;1493,32221
 180,52;  266,812;  227,272;  247,498;195,49181
 181,12;  271,210;  233,897;  247,458;275,14362
 181,73;  303,656;  255,022;  265,840;449,54027
 182,33;  386,122;  298,022;  312,473;609,65884
 182,93;  305,381;  253,272;  263,032;533,87211
 183,53;  254,618;  231,647;  214,044; 0,00000
 184,13;  252,757;  240,772;  231,230; 0,00000
 184,73;  295,282;  260,772;  254,913; 0,00000
 185,33;  304,454;  221,522;  332,987;74,40185
 185,93;  308,436;  240,897;  349,033;62,45811
 186,53;  329,848;  235,397;  360,514;75,48957
 187,13;  339,570;  276,147;  418,944;44,41532
 187,73;  307,808;  221,397;  354,971;64,69185
 188,33;  312,596;  236,147;  369,308;57,41097
 188,93;  312,375;  233,772;  375,642;55,40517
 189,53;  320,270;  250,022;  372,915;57,16196
 190,13;  348,158;  256,647;  403,968;62,11635
 190,73;  292,647;  221,647;  340,553;59,71118
 191,34;  330,890;  260,647;  370,341;64,03566
 191,94;  313,643;  230,772;  342,362;74,26360
 192,54;  313,924;  258,772;  381,996;44,75788
 193,14;  322,301;  253,272;  373,617;57,35914
 193,74;  329,301;  241,272;  359,726;74,31463
 194,34;  311,317;  242,897;  362,007;57,44320
 194,94;  294,125;  212,772;  337,936;64,99681
 195,54;  274,082;  211,022;  325,315;55,17434
 196,14;  294,308;  222,147;  348,806;56,97301
 196,74;  278,191;  215,397;  317,051;61,77254
 197,34;  273,803;  183,272;  330,840;61,34862
 197,94;  298,522;  219,522;  362,590;55,21874
 198,54;  312,545;  234,397;  367,260;58,81863
 199,14;  292,015;  215,397;  360,862;52,67127
