
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,565;  184,647;  202,659;154,99408
 176,32;  248,692;  222,897;  211,946; 0,00000
 176,92;  267,257;  236,022;  234,253; 0,00000
 177,52;  262,396;  247,022;  266,339;79,59111
 178,12;  246,854;  220,272;  216,819; 0,00000
 178,72;  280,068;  254,772;  232,116; 0,00000
 179,32;  266,803;  236,022;  236,650; 0,00000
 179,92;  243,934;  237,272;  239,552;292,12674
 180,52;  254,659;  227,272;  247,498;135,40676
 181,12;  262,478;  233,897;  247,458;210,75426
 181,73;  282,095;  255,022;  265,840;250,25054
 182,33;  348,616;  298,022;  312,473;350,11611
 182,93;  283,587;  253,272;  263,032;310,59264
 183,53;  239,811;  231,647;  214,044; 0,00000
 184,13;  234,649;  240,772;  231,230; 0,00000
 184,73;  289,407;  260,772;  254,913; 0,00000
 185,33;  288,311;  221,522;  332,987;59,91941
 185,93;  288,159;  240,897;  349,033;43,70590
 186,53;  312,275;  235,397;  360,514;61,44495
 187,13;  310,788;  276,147;  418,944;24,25909
 187,73;  286,460;  221,397;  354,971;48,70922
 188,33;  300,534;  236,147;  369,308;48,35301
 188,93;  297,001;  233,772;  375,642;44,56822
 189,53;  310,496;  250,022;  372,915;49,20836
 190,13;  336,404;  256,647;  403,968;54,13825
 190,73;  278,350;  221,647;  340,553;47,68719
 191,34;  315,443;  260,647;  370,341;49,95337
 191,94;  280,852;  230,772;  342,362;44,87803
 192,54;  307,823;  258,772;  381,996;39,80677
 193,14;  307,354;  253,272;  373,617;44,93935
 193,74;  310,781;  241,272;  359,726;58,68029
 194,34;  319,214;  242,897;  362,007;64,07301
 194,94;  271,671;  212,772;  337,936;47,05709
 195,54;  245,333;  211,022;  325,315;30,02043
 196,14;  264,545;  222,147;  348,806;33,47404
 196,74;  272,723;  215,397;  317,051;56,39385
 197,34;  261,919;  183,272;  330,840;53,29513
 197,94;  282,001;  219,522;  362,590;43,67097
 198,54;  289,155;  234,397;  367,260;41,21381
 199,14;  276,396;  215,397;  360,862;41,93381
