
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,483;  184,647;  202,659;204,50504
 176,32;  235,436;  222,897;  211,946; 0,00000
 176,92;  282,198;  236,022;  234,253; 0,00000
 177,52;  277,954;  247,022;  266,339;160,12896
 178,12;  260,845;  220,272;  216,819; 0,00000
 178,72;  278,705;  254,772;  232,116; 0,00000
 179,32;  265,172;  236,022;  236,650; 0,00000
 179,92;  265,399;  237,272;  239,552;1233,33292
 180,52;  262,413;  227,272;  247,498;173,74050
 181,12;  267,688;  233,897;  247,458;249,17134
 181,73;  302,549;  255,022;  265,840;439,30738
 182,33;  385,902;  298,022;  312,473;608,13423
 182,93;  303,271;  253,272;  263,032;512,25433
 183,53;  246,334;  231,647;  214,044; 0,00000
 184,13;  240,662;  240,772;  231,230; 0,00000
 184,73;  309,190;  260,772;  254,913; 0,00000
 185,33;  292,536;  221,522;  332,987;63,70984
 185,93;  295,063;  240,897;  349,033;50,09063
 186,53;  304,276;  235,397;  360,514;55,05116
 187,13;  343,105;  276,147;  418,944;46,89048
 187,73;  300,481;  221,397;  354,971;59,20643
 188,33;  308,711;  236,147;  369,308;54,49334
 188,93;  322,649;  233,772;  375,642;62,64697
 189,53;  301,718;  250,022;  372,915;42,06574
 190,13;  344,622;  256,647;  403,968;59,71608
 190,73;  286,986;  221,647;  340,553;54,94968
 191,34;  325,869;  260,647;  370,341;59,45813
 191,94;  308,810;  230,772;  342,362;69,93289
 192,54;  311,222;  258,772;  381,996;42,56496
 193,14;  338,802;  253,272;  373,617;71,07026
 193,74;  314,489;  241,272;  359,726;61,81032
 194,34;  314,524;  242,897;  362,007;60,13484
 194,94;  294,869;  212,772;  337,936;65,59147
 195,54;  263,806;  211,022;  325,315;46,18271
 196,14;  270,466;  222,147;  348,806;38,14929
 196,74;  278,459;  215,397;  317,051;62,03607
 197,34;  264,679;  183,272;  330,840;55,16604
 197,94;  293,442;  219,522;  362,590;51,66735
 198,54;  305,077;  234,397;  367,260;53,19744
 199,14;  284,887;  215,397;  360,862;47,77106
