
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,004;  210,396;  218,316;133,93729
 176,32;  247,337;  240,998;  232,879; 0,00000
 176,92;  287,066;  269,139;  280,014;164,84501
 177,52;  280,007;  269,016;  290,032;52,29622
 178,12;  236,015;  261,249;  235,645; 0,00000
 178,72;  283,239;  279,243;  265,313; 0,00000
 179,32;  278,196;  285,873;  269,707; 0,00000
 179,92;  278,113;  264,882;  266,541;797,51820
 180,52;  264,067;  254,907;  264,527;95,21981
 181,12;  271,561;  275,258;  261,354; 0,00000
 181,73;  287,840;  295,635;  291,278; 0,00000
 182,33;  392,972;  392,023;  390,552; 0,00000
 182,93;  300,817;  290,891;  290,094; 0,00000
 183,53;  264,920;  252,740;  249,295; 0,00000
 184,13;  248,816;  255,743;  244,797; 0,00000
 184,73;  305,338;  311,487;  290,606; 0,00000
 185,33;  302,554;  259,857;  362,051;41,78056
 185,93;  303,353;  252,591;  372,759;42,24237
 186,53;  313,129;  271,100;  394,921;33,94361
 187,13;  346,964;  280,617;  417,713;48,39424
 187,73;  293,196;  267,969;  383,120;21,90829
 188,33;  303,355;  262,085;  379,270;35,21829
 188,93;  320,413;  286,806;  384,626;34,35599
 189,53;  313,001;  271,660;  395,440;33,39899
 190,13;  348,497;  304,874;  431,995;34,31591
 190,73;  296,769;  229,398;  369,339;48,14208
 191,34;  326,327;  281,048;  425,902;31,25811
 191,94;  292,744;  245,200;  379,248;35,46798
 192,54;  315,362;  272,255;  401,659;33,31197
 193,14;  321,625;  279,240;  400,728;34,88778
 193,74;  317,620;  283,487;  398,023;29,80090
 194,34;  318,182;  271,994;  393,574;37,98963
 194,94;  286,810;  233,615;  360,415;41,95186
 195,54;  249,466;  207,483;  327,520;34,97481
 196,14;  289,582;  241,498;  367,827;38,06271
 196,74;  277,908;  229,979;  361,924;36,32528
 197,34;  254,778;  223,133;  353,209;24,32797
 197,94;  287,936;  238,492;  374,995;36,22146
 198,54;  312,066;  248,373;  395,655;43,24568
 199,14;  269,364;  236,139;  373,103;24,25814
