
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,013;  184,647;  202,659;201,89683
 176,32;  253,682;  222,897;  211,946; 0,00000
 176,92;  263,064;  236,022;  234,253; 0,00000
 177,52;  263,688;  247,022;  266,339;86,27591
 178,12;  253,175;  220,272;  216,819; 0,00000
 178,72;  273,833;  254,772;  232,116; 0,00000
 179,32;  255,422;  236,022;  236,650; 0,00000
 179,92;  262,730;  237,272;  239,552;1116,29301
 180,52;  260,373;  227,272;  247,498;163,65590
 181,12;  260,443;  233,897;  247,458;195,74981
 181,73;  288,210;  255,022;  265,840;306,76670
 182,33;  356,697;  298,022;  312,473;406,03862
 182,93;  282,770;  253,272;  263,032;302,21642
 183,53;  248,874;  231,647;  214,044; 0,00000
 184,13;  249,551;  240,772;  231,230; 0,00000
 184,73;  291,615;  260,772;  254,913; 0,00000
 185,33;  276,310;  221,522;  332,987;49,15285
 185,93;  271,614;  240,897;  349,033;28,40631
 186,53;  300,662;  235,397;  360,514;52,16295
 187,13;  322,903;  276,147;  418,944;32,74342
 187,73;  279,173;  221,397;  354,971;43,25428
 188,33;  301,958;  236,147;  369,308;49,42228
 188,93;  304,285;  233,772;  375,642;49,70288
 189,53;  306,915;  250,022;  372,915;46,29443
 190,13;  341,543;  256,647;  403,968;57,62651
 190,73;  286,233;  221,647;  340,553;54,31711
 191,34;  309,030;  260,647;  370,341;44,10754
 191,94;  295,272;  230,772;  342,362;57,80064
 192,54;  305,152;  258,772;  381,996;37,63856
 193,14;  317,430;  253,272;  373,617;53,31118
 193,74;  313,139;  241,272;  359,726;60,67057
 194,34;  303,588;  242,897;  362,007;50,95343
 194,94;  273,637;  212,772;  337,936;48,62804
 195,54;  253,292;  211,022;  325,315;36,98380
 196,14;  269,474;  222,147;  348,806;37,36597
 196,74;  273,134;  215,397;  317,051;56,79768
 197,34;  255,174;  183,272;  330,840;48,72465
 197,94;  280,592;  219,522;  362,590;42,68621
 198,54;  280,964;  234,397;  367,260;35,04847
 199,14;  271,223;  215,397;  360,862;38,37806
