
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,482;  184,647;  202,659;143,42844
 176,32;  227,873;  222,897;  211,946; 0,00000
 176,92;  266,659;  236,022;  234,253; 0,00000
 177,52;  256,277;  247,022;  266,339;47,91352
 178,12;  227,193;  220,272;  216,819; 0,00000
 178,72;  279,171;  254,772;  232,116; 0,00000
 179,32;  263,731;  236,022;  236,650; 0,00000
 179,92;  251,318;  237,272;  239,552;615,88510
 180,52;  253,776;  227,272;  247,498;131,03857
 181,12;  267,421;  233,897;  247,458;247,20483
 181,73;  285,238;  255,022;  265,840;279,29919
 182,33;  371,619;  298,022;  312,473;509,29951
 182,93;  277,331;  253,272;  263,032;246,49815
 183,53;  241,911;  231,647;  214,044; 0,00000
 184,13;  236,743;  240,772;  231,230; 0,00000
 184,73;  281,025;  260,772;  254,913; 0,00000
 185,33;  300,795;  221,522;  332,987;71,11894
 185,93;  312,529;  240,897;  349,033;66,24244
 186,53;  302,848;  235,397;  360,514;53,91016
 187,13;  341,772;  276,147;  418,944;45,95698
 187,73;  311,291;  221,397;  354,971;67,29922
 188,33;  305,776;  236,147;  369,308;52,28951
 188,93;  321,647;  233,772;  375,642;61,94038
 189,53;  320,555;  250,022;  372,915;57,39343
 190,13;  367,352;  256,647;  403,968;75,14524
 190,73;  297,349;  221,647;  340,553;63,66537
 191,34;  327,898;  260,647;  370,341;61,30780
 191,94;  303,227;  230,772;  342,362;64,92949
 192,54;  325,796;  258,772;  381,996;54,39184
 193,14;  323,526;  253,272;  373,617;58,37675
 193,74;  325,836;  241,272;  359,726;71,38996
 194,34;  312,659;  242,897;  362,007;58,56989
 194,94;  287,955;  212,772;  337,936;60,06750
 195,54;  274,222;  211,022;  325,315;55,29611
 196,14;  284,508;  222,147;  348,806;49,23542
 196,74;  277,713;  215,397;  317,051;61,30214
 197,34;  258,287;  183,272;  330,840;50,83407
 197,94;  284,503;  219,522;  362,590;45,41959
 198,54;  294,865;  234,397;  367,260;45,51161
 199,14;  278,862;  215,397;  360,862;43,62950
