
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  207,806;  184,647;  202,659;128,57099
 176,32;  214,904;  222,897;  211,946; 0,00000
 176,92;  250,748;  236,022;  234,253; 0,00000
 177,52;  265,811;  247,022;  266,339;97,27032
 178,12;  231,956;  220,272;  216,819; 0,00000
 178,72;  258,934;  254,772;  232,116; 0,00000
 179,32;  256,013;  236,022;  236,650; 0,00000
 179,92;  262,674;  237,272;  239,552;1113,84845
 180,52;  242,361;  227,272;  247,498;74,60284
 181,12;  262,246;  233,897;  247,458;209,04470
 181,73;  262,899;  255,022;  265,840;72,80744
 182,33;  352,022;  298,022;  312,473;373,68695
 182,93;  279,997;  253,272;  263,032;273,80635
 183,53;  248,492;  231,647;  214,044; 0,00000
 184,13;  237,511;  240,772;  231,230; 0,00000
 184,73;  269,663;  260,772;  254,913; 0,00000
 185,33;  284,089;  221,522;  332,987;56,13142
 185,93;  282,148;  240,897;  349,033;38,14764
 186,53;  304,169;  235,397;  360,514;54,96577
 187,13;  318,617;  276,147;  418,944;29,74169
 187,73;  290,365;  221,397;  354,971;51,63277
 188,33;  291,155;  236,147;  369,308;41,30939
 188,93;  312,607;  233,772;  375,642;55,56833
 189,53;  306,834;  250,022;  372,915;46,22834
 190,13;  349,478;  256,647;  403,968;63,01234
 190,73;  282,859;  221,647;  340,553;51,47883
 191,34;  312,025;  260,647;  370,341;46,83794
 191,94;  293,300;  230,772;  342,362;56,03360
 192,54;  316,132;  258,772;  381,996;46,54928
 193,14;  318,529;  253,272;  373,617;54,22478
 193,74;  302,776;  241,272;  359,726;51,92244
 194,34;  299,584;  242,897;  362,007;47,59207
 194,94;  272,340;  212,772;  337,936;47,59159
 195,54;  250,750;  211,022;  325,315;34,75973
 196,14;  281,606;  222,147;  348,806;46,94462
 196,74;  288,445;  215,397;  317,051;71,85985
 197,34;  262,920;  183,272;  330,840;53,97410
 197,94;  280,339;  219,522;  362,590;42,50884
 198,54;  296,465;  234,397;  367,260;46,71591
 199,14;  275,628;  215,397;  360,862;41,40575
