
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  233,577;  184,647;  202,659;271,64860
 176,32;  244,535;  222,897;  211,946; 0,00000
 176,92;  285,746;  236,022;  234,253; 0,00000
 177,52;  265,470;  247,022;  266,339;95,50434
 178,12;  243,309;  220,272;  216,819; 0,00000
 178,72;  284,238;  254,772;  232,116; 0,00000
 179,32;  277,646;  236,022;  236,650; 0,00000
 179,92;  256,901;  237,272;  239,552;860,69588
 180,52;  269,249;  227,272;  247,498;207,53980
 181,12;  257,672;  233,897;  247,458;175,31485
 181,73;  294,386;  255,022;  265,840;363,85440
 182,33;  385,345;  298,022;  312,473;604,28389
 182,93;  291,541;  253,272;  263,032;392,07854
 183,53;  256,280;  231,647;  214,044; 0,00000
 184,13;  261,823;  240,772;  231,230; 0,00000
 184,73;  308,167;  260,772;  254,913; 0,00000
 185,33;  301,744;  221,522;  332,987;71,97069
 185,93;  304,077;  240,897;  349,033;58,42670
 186,53;  330,193;  235,397;  360,514;75,76566
 187,13;  343,827;  276,147;  418,944;47,39617
 187,73;  307,095;  221,397;  354,971;64,15780
 188,33;  302,550;  236,147;  369,308;49,86666
 188,93;  316,437;  233,772;  375,642;58,26825
 189,53;  303,503;  250,022;  372,915;43,51837
 190,13;  362,309;  256,647;  403,968;71,72204
 190,73;  310,149;  221,647;  340,553;74,43028
 191,34;  338,750;  260,647;  370,341;71,20095
 191,94;  302,008;  230,772;  342,362;63,83677
 192,54;  311,800;  258,772;  381,996;43,03384
 193,14;  326,417;  253,272;  373,617;60,77955
 193,74;  326,264;  241,272;  359,726;71,75077
 194,34;  321,095;  242,897;  362,007;65,65208
 194,94;  289,988;  212,772;  337,936;61,69188
 195,54;  264,630;  211,022;  325,315;46,90382
 196,14;  287,246;  222,147;  348,806;51,39695
 196,74;  296,952;  215,397;  317,051;80,22841
 197,34;  266,589;  183,272;  330,840;56,46013
 197,94;  296,533;  219,522;  362,590;53,82843
 198,54;  316,232;  234,397;  367,260;61,59343
 199,14;  288,731;  215,397;  360,862;50,41338
