
Integration time [ms]: 130,000
Averaging Nr. [scans]: 8
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,270;  184,647;  202,659;175,56396
 176,32;  251,056;  222,897;  211,946; 0,00000
 176,92;  282,232;  236,022;  234,253; 0,00000
 177,52;  269,591;  247,022;  266,339;116,83857
 178,12;  261,294;  220,272;  216,819; 0,00000
 178,72;  274,859;  254,772;  232,116; 0,00000
 179,32;  273,421;  236,022;  236,650; 0,00000
 179,92;  263,059;  237,272;  239,552;1130,73317
 180,52;  251,569;  227,272;  247,498;120,12617
 181,12;  269,764;  233,897;  247,458;264,48340
 181,73;  280,146;  255,022;  265,840;232,22936
 182,33;  389,317;  298,022;  312,473;631,77211
 182,93;  294,550;  253,272;  263,032;422,90944
 183,53;  256,668;  231,647;  214,044; 0,00000
 184,13;  247,078;  240,772;  231,230; 0,00000
 184,73;  296,049;  260,772;  254,913; 0,00000
 185,33;  289,425;  221,522;  332,987;60,91841
 185,93;  274,937;  240,897;  349,033;31,47924
 186,53;  300,940;  235,397;  360,514;52,38545
 187,13;  332,467;  276,147;  418,944;39,44070
 187,73;  298,485;  221,397;  354,971;57,71156
 188,33;  290,065;  236,147;  369,308;40,49125
 188,93;  307,292;  233,772;  375,642;51,82198
 189,53;  293,410;  250,022;  372,915;35,30538
 190,13;  339,973;  256,647;  403,968;56,56097
 190,73;  280,288;  221,647;  340,553;49,31678
 191,34;  319,330;  260,647;  370,341;53,49664
 191,94;  288,179;  230,772;  342,362;51,44451
 192,54;  297,274;  258,772;  381,996;31,24539
 193,14;  326,877;  253,272;  373,617;61,16106
 193,74;  310,227;  241,272;  359,726;58,21205
 194,34;  302,389;  242,897;  362,007;49,94742
 194,94;  268,210;  212,772;  337,936;44,29263
 195,54;  236,652;  211,022;  325,315;22,42514
 196,14;  276,382;  222,147;  348,806;42,81944
 196,74;  289,390;  215,397;  317,051;72,78895
 197,34;  243,526;  183,272;  330,840;40,83151
 197,94;  274,778;  219,522;  362,590;38,62246
 198,54;  288,996;  234,397;  367,260;41,09430
 199,14;  272,295;  215,397;  360,862;39,11491
