
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,579;  192,986;  201,498;241,93639
 176,32;  230,553;  222,384;  221,717; 0,00000
 176,92;  271,657;  241,385;  235,854; 0,00000
 177,52;  258,301;  259,786;  258,523; 0,00000
 178,12;  236,613;  246,984;  204,441; 0,00000
 178,72;  262,018;  250,783;  241,274; 0,00000
 179,32;  250,678;  247,384;  249,069;195,47018
 179,92;  259,146;  231,385;  239,762;331,38874
 180,52;  260,496;  244,988;  241,098; 0,00000
 181,12;  257,228;  248,385;  229,716; 0,00000
 181,73;  283,830;  272,585;  262,308; 0,00000
 182,33;  359,397;  306,387;  321,281;355,91801
 182,93;  264,513;  256,186;  256,932; 0,00000
 183,53;  247,371;  246,183;  223,624; 0,00000
 184,13;  244,820;  236,383;  230,131; 0,00000
 184,73;  279,566;  249,982;  256,507;453,43001
 185,33;  292,371;  234,768;  346,100;51,73973
 185,93;  295,728;  232,166;  351,877;53,09630
 186,53;  305,749;  241,967;  348,122;60,08415
 187,13;  343,543;  257,569;  394,908;62,59998
 187,73;  302,404;  220,566;  335,660;71,10527
 188,33;  306,023;  254,365;  362,824;47,62925
 188,93;  335,975;  244,562;  398,475;59,39233
 189,53;  329,097;  258,559;  392,476;52,67251
 190,13;  351,556;  283,155;  430,284;46,49013
 190,73;  296,556;  220,558;  363,114;53,31130
 191,34;  329,455;  253,561;  378,621;60,68648
 191,94;  297,334;  240,364;  345,758;54,05429
 192,54;  333,414;  245,370;  399,729;57,03866
 193,14;  319,443;  248,969;  381,307;53,25329
 193,74;  331,155;  249,968;  364,047;71,16713
 194,34;  309,505;  227,969;  353,891;64,75092
 194,94;  285,941;  218,569;  355,716;49,12406
 195,54;  267,840;  215,168;  334,977;43,96364
 196,14;  297,958;  221,569;  355,380;57,08729
 196,74;  261,350;  216,167;  336,993;37,39501
 197,34;  257,315;  188,971;  344,465;43,95269
 197,94;  302,939;  220,769;  365,195;56,89466
 198,54;  299,083;  238,769;  365,333;47,65483
 199,14;  281,407;  213,971;  370,842;42,98833
