
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  217,351;  192,986;  201,498;286,26110
 176,32;  242,302;  222,384;  221,717; 0,00000
 176,92;  260,708;  241,385;  235,854; 0,00000
 177,52;  260,354;  259,786;  258,523; 0,00000
 178,12;  237,077;  246,984;  204,441; 0,00000
 178,72;  272,476;  250,783;  241,274; 0,00000
 179,32;  254,141;  247,384;  249,069;400,96460
 179,92;  250,904;  231,385;  239,762;233,00341
 180,52;  239,996;  244,988;  241,098; 0,00000
 181,12;  256,702;  248,385;  229,716; 0,00000
 181,73;  289,735;  272,585;  262,308; 0,00000
 182,33;  368,458;  306,387;  321,281;416,75282
 182,93;  273,852;  256,186;  256,932; 0,00000
 183,53;  246,968;  246,183;  223,624; 0,00000
 184,13;  255,420;  236,383;  230,131; 0,00000
 184,73;  282,303;  249,982;  256,507;495,37610
 185,33;  303,683;  234,768;  346,100;61,90070
 185,93;  313,452;  232,166;  351,877;67,90199
 186,53;  330,054;  241,967;  348,122;82,97939
 187,13;  339,438;  257,569;  394,908;59,61050
 187,73;  301,416;  220,566;  335,660;70,24697
 188,33;  304,740;  254,365;  362,824;46,44636
 188,93;  301,519;  244,562;  398,475;37,00565
 189,53;  320,189;  258,559;  392,476;46,02071
 190,13;  366,039;  283,155;  430,284;56,33397
 190,73;  299,351;  220,558;  363,114;55,27152
 191,34;  330,133;  253,561;  378,621;61,22861
 191,94;  296,184;  240,364;  345,758;52,96294
 192,54;  312,608;  245,370;  399,729;43,55933
 193,14;  323,050;  248,969;  381,307;55,97874
 193,74;  312,473;  249,968;  364,047;54,79068
 194,34;  323,830;  227,969;  353,891;76,12717
 194,94;  276,405;  218,569;  355,716;42,17071
 195,54;  247,439;  215,168;  334,977;26,93573
 196,14;  298,430;  221,569;  355,380;57,44006
 196,74;  282,231;  216,167;  336,993;54,67664
 197,34;  265,227;  188,971;  344,465;49,04084
 197,94;  296,120;  220,769;  365,195;52,17284
 198,54;  303,269;  238,769;  365,333;50,96247
 199,14;  271,897;  213,971;  370,842;36,92564
