
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,996;  192,986;  201,498;340,83546
 176,32;  226,424;  222,384;  221,717; 0,00000
 176,92;  259,545;  241,385;  235,854; 0,00000
 177,52;  266,748;  259,786;  258,523; 0,00000
 178,12;  247,819;  246,984;  204,441; 0,00000
 178,72;  265,752;  250,783;  241,274; 0,00000
 179,32;  268,843;  247,384;  249,069;1273,36017
 179,92;  257,226;  231,385;  239,762;308,46936
 180,52;  252,775;  244,988;  241,098; 0,00000
 181,12;  267,281;  248,385;  229,716; 0,00000
 181,73;  291,671;  272,585;  262,308; 0,00000
 182,33;  355,283;  306,387;  321,281;328,29545
 182,93;  273,137;  256,186;  256,932; 0,00000
 183,53;  234,327;  246,183;  223,624; 0,00000
 184,13;  241,436;  236,383;  230,131; 0,00000
 184,73;  291,113;  249,982;  256,507;630,41211
 185,33;  272,481;  234,768;  346,100;33,87410
 185,93;  286,586;  232,166;  351,877;45,45983
 186,53;  277,674;  241,967;  348,122;33,63674
 187,13;  330,298;  257,569;  394,908;52,95568
 187,73;  284,873;  220,566;  335,660;55,87358
 188,33;  286,317;  254,365;  362,824;29,46017
 188,93;  292,250;  244,562;  398,475;30,98342
 189,53;  301,614;  258,559;  392,476;32,15010
 190,13;  333,809;  283,155;  430,284;34,42807
 190,73;  265,884;  220,558;  363,114;31,79535
 191,34;  300,201;  253,561;  378,621;37,29447
 191,94;  283,529;  240,364;  345,758;40,95610
 192,54;  289,777;  245,370;  399,729;28,76847
 193,14;  299,090;  248,969;  381,307;37,87385
 193,74;  297,419;  249,968;  364,047;41,59452
 194,34;  298,013;  227,969;  353,891;55,62498
 194,94;  271,479;  218,569;  355,716;38,57936
 195,54;  251,151;  215,168;  334,977;30,03366
 196,14;  258,488;  221,569;  355,380;27,59007
 196,74;  256,799;  216,167;  336,993;33,62865
 197,34;  225,547;  188,971;  344,465;23,52262
 197,94;  271,500;  220,769;  365,195;35,12622
 198,54;  283,621;  238,769;  365,333;35,43803
 199,14;  260,003;  213,971;  370,842;29,34377
