
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,228;  192,986;  201,498;214,32013
 176,32;  235,734;  222,384;  221,717; 0,00000
 176,92;  267,119;  241,385;  235,854; 0,00000
 177,52;  263,897;  259,786;  258,523; 0,00000
 178,12;  245,603;  246,984;  204,441; 0,00000
 178,72;  264,777;  250,783;  241,274; 0,00000
 179,32;  238,434;  247,384;  249,069;-531,06397
 179,92;  267,138;  231,385;  239,762;426,79107
 180,52;  248,638;  244,988;  241,098; 0,00000
 181,12;  265,848;  248,385;  229,716; 0,00000
 181,73;  293,200;  272,585;  262,308; 0,00000
 182,33;  365,350;  306,387;  321,281;395,88740
 182,93;  269,841;  256,186;  256,932; 0,00000
 183,53;  240,601;  246,183;  223,624; 0,00000
 184,13;  243,306;  236,383;  230,131; 0,00000
 184,73;  280,237;  249,982;  256,507;463,71428
 185,33;  285,575;  234,768;  346,100;45,63573
 185,93;  295,963;  232,166;  351,877;53,29240
 186,53;  306,510;  241,967;  348,122;60,80082
 187,13;  329,919;  257,569;  394,908;52,67978
 187,73;  295,371;  220,566;  335,660;64,99455
 188,33;  310,624;  254,365;  362,824;51,87145
 188,93;  298,733;  244,562;  398,475;35,19571
 189,53;  313,066;  258,559;  392,476;40,70155
 190,13;  355,065;  283,155;  430,284;48,87547
 190,73;  288,297;  220,558;  363,114;47,51768
 191,34;  310,242;  253,561;  378,621;45,32286
 191,94;  299,465;  240,364;  345,758;56,07623
 192,54;  299,226;  245,370;  399,729;34,89013
 193,14;  317,481;  248,969;  381,307;51,77039
 193,74;  312,075;  249,968;  364,047;54,44179
 194,34;  309,327;  227,969;  353,891;64,60965
 194,94;  271,567;  218,569;  355,716;38,64355
 195,54;  247,573;  215,168;  334,977;27,04725
 196,14;  285,859;  221,569;  355,380;48,04541
 196,74;  279,869;  216,167;  336,993;52,72249
 197,34;  268,344;  188,971;  344,465;51,04570
 197,94;  283,432;  220,769;  365,195;43,38781
 198,54;  298,702;  238,769;  365,333;47,35426
 199,14;  265,971;  213,971;  370,842;33,14789
