
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,399;  192,986;  201,498;228,07995
 176,32;  239,902;  222,384;  221,717; 0,00000
 176,92;  274,168;  241,385;  235,854; 0,00000
 177,52;  273,765;  259,786;  258,523; 0,00000
 178,12;  236,947;  246,984;  204,441; 0,00000
 178,72;  267,458;  250,783;  241,274; 0,00000
 179,32;  250,314;  247,384;  249,069;173,87437
 179,92;  252,491;  231,385;  239,762;251,94972
 180,52;  262,115;  244,988;  241,098; 0,00000
 181,12;  262,689;  248,385;  229,716; 0,00000
 181,73;  283,973;  272,585;  262,308; 0,00000
 182,33;  383,893;  306,387;  321,281;520,38759
 182,93;  280,839;  256,186;  256,932; 0,00000
 183,53;  251,154;  246,183;  223,624; 0,00000
 184,13;  257,264;  236,383;  230,131; 0,00000
 184,73;  296,254;  249,982;  256,507;709,20579
 185,33;  294,731;  234,768;  346,100;53,85986
 185,93;  291,935;  232,166;  351,877;49,92753
 186,53;  302,809;  241,967;  348,122;57,31453
 187,13;  342,450;  257,569;  394,908;61,80384
 187,73;  304,000;  220,566;  335,660;72,49242
 188,33;  300,486;  254,365;  362,824;42,52398
 188,93;  309,357;  244,562;  398,475;42,09846
 189,53;  303,854;  258,559;  392,476;33,82288
 190,13;  336,780;  283,155;  430,284;36,44722
 190,73;  292,223;  220,558;  363,114;50,27130
 191,34;  328,265;  253,561;  378,621;59,73454
 191,94;  284,390;  240,364;  345,758;41,77237
 192,54;  319,102;  245,370;  399,729;47,76663
 193,14;  312,378;  248,969;  381,307;47,91441
 193,74;  311,570;  249,968;  364,047;53,99940
 194,34;  316,373;  227,969;  353,891;70,20501
 194,94;  278,881;  218,569;  355,716;43,97629
 195,54;  254,759;  215,168;  334,977;33,04502
 196,14;  291,762;  221,569;  355,380;52,45678
 196,74;  284,907;  216,167;  336,993;56,89143
 197,34;  273,937;  188,971;  344,465;54,64272
 197,94;  297,981;  220,769;  365,195;53,46137
 198,54;  308,460;  238,769;  365,333;55,06350
 199,14;  267,644;  213,971;  370,842;34,21465
