
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,212;  192,986;  201,498;272,87526
 176,32;  227,257;  222,384;  221,717; 0,00000
 176,92;  267,950;  241,385;  235,854; 0,00000
 177,52;  252,446;  259,786;  258,523; 0,00000
 178,12;  228,699;  246,984;  204,441; 0,00000
 178,72;  266,579;  250,783;  241,274; 0,00000
 179,32;  253,386;  247,384;  249,069;356,16222
 179,92;  263,103;  231,385;  239,762;378,61493
 180,52;  249,781;  244,988;  241,098; 0,00000
 181,12;  276,815;  248,385;  229,716; 0,00000
 181,73;  270,598;  272,585;  262,308; 0,00000
 182,33;  339,195;  306,387;  321,281;220,27548
 182,93;  268,675;  256,186;  256,932; 0,00000
 183,53;  244,398;  246,183;  223,624; 0,00000
 184,13;  243,393;  236,383;  230,131; 0,00000
 184,73;  287,030;  249,982;  256,507;567,82845
 185,33;  278,325;  234,768;  346,100;39,12368
 185,93;  286,833;  232,166;  351,877;45,66578
 186,53;  316,392;  241,967;  348,122;70,11003
 187,13;  325,397;  257,569;  394,908;49,38734
 187,73;  282,244;  220,566;  335,660;53,58930
 188,33;  285,056;  254,365;  362,824;28,29757
 188,93;  310,982;  244,562;  398,475;43,15383
 189,53;  314,283;  258,559;  392,476;41,61077
 190,13;  345,089;  283,155;  430,284;42,09517
 190,73;  284,927;  220,558;  363,114;45,15372
 191,34;  301,479;  253,561;  378,621;38,31575
 191,94;  297,598;  240,364;  345,758;54,30463
 192,54;  301,722;  245,370;  399,729;36,50734
 193,14;  317,242;  248,969;  381,307;51,59023
 193,74;  301,118;  249,968;  364,047;44,83703
 194,34;  308,237;  227,969;  353,891;63,74400
 194,94;  268,757;  218,569;  355,716;36,59445
 195,54;  244,895;  215,168;  334,977;24,81246
 196,14;  264,918;  221,569;  355,380;32,39504
 196,74;  266,329;  216,167;  336,993;41,51611
 197,34;  265,846;  188,971;  344,465;49,43903
 197,94;  292,339;  220,769;  365,195;49,55528
 198,54;  285,332;  238,769;  365,333;36,78991
 199,14;  271,052;  213,971;  370,842;36,38713
