
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,916;  192,986;  201,498;128,40858
 176,32;  240,218;  222,384;  221,717; 0,00000
 176,92;  261,502;  241,385;  235,854; 0,00000
 177,52;  263,145;  259,786;  258,523; 0,00000
 178,12;  246,375;  246,984;  204,441; 0,00000
 178,72;  273,961;  250,783;  241,274; 0,00000
 179,32;  273,061;  247,384;  249,069;1523,64292
 179,92;  263,788;  231,385;  239,762;386,80257
 180,52;  238,786;  244,988;  241,098; 0,00000
 181,12;  270,645;  248,385;  229,716; 0,00000
 181,73;  285,860;  272,585;  262,308; 0,00000
 182,33;  368,615;  306,387;  321,281;417,81030
 182,93;  280,373;  256,186;  256,932; 0,00000
 183,53;  245,633;  246,183;  223,624; 0,00000
 184,13;  245,633;  236,383;  230,131; 0,00000
 184,73;  274,548;  249,982;  256,507;376,50775
 185,33;  293,389;  234,768;  346,100;52,65396
 185,93;  287,304;  232,166;  351,877;46,05970
 186,53;  306,161;  241,967;  348,122;60,47160
 187,13;  331,045;  257,569;  394,908;53,49949
 187,73;  301,433;  220,566;  335,660;70,26160
 188,33;  306,519;  254,365;  362,824;48,08678
 188,93;  317,122;  244,562;  398,475;47,14347
 189,53;  319,253;  258,559;  392,476;45,32178
 190,13;  351,585;  283,155;  430,284;46,50998
 190,73;  281,597;  220,558;  363,114;42,81734
 191,34;  329,894;  253,561;  378,621;61,03745
 191,94;  287,763;  240,364;  345,758;44,97308
 192,54;  304,529;  245,370;  399,729;38,32573
 193,14;  322,602;  248,969;  381,307;55,64029
 193,74;  320,474;  249,968;  364,047;61,80412
 194,34;  311,887;  227,969;  353,891;66,64301
 194,94;  268,831;  218,569;  355,716;36,64817
 195,54;  255,103;  215,168;  334,977;33,33221
 196,14;  292,287;  221,569;  355,380;52,84898
 196,74;  274,960;  216,167;  336,993;48,65949
 197,34;  248,800;  188,971;  344,465;38,47699
 197,94;  282,559;  220,769;  365,195;42,78338
 198,54;  313,416;  238,769;  365,333;58,97945
 199,14;  281,586;  213,971;  370,842;43,10192
