
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,124;  192,986;  201,498;142,60645
 176,32;  235,170;  222,384;  221,717; 0,00000
 176,92;  274,170;  241,385;  235,854; 0,00000
 177,52;  270,484;  259,786;  258,523; 0,00000
 178,12;  227,788;  246,984;  204,441; 0,00000
 178,72;  260,433;  250,783;  241,274; 0,00000
 179,32;  263,010;  247,384;  249,069;927,26979
 179,92;  263,342;  231,385;  239,762;381,46878
 180,52;  255,712;  244,988;  241,098; 0,00000
 181,12;  259,256;  248,385;  229,716; 0,00000
 181,73;  281,827;  272,585;  262,308; 0,00000
 182,33;  363,336;  306,387;  321,281;382,36017
 182,93;  277,701;  256,186;  256,932; 0,00000
 183,53;  246,125;  246,183;  223,624; 0,00000
 184,13;  254,811;  236,383;  230,131; 0,00000
 184,73;  284,365;  249,982;  256,507;526,97959
 185,33;  285,963;  234,768;  346,100;45,98375
 185,93;  301,003;  232,166;  351,877;57,50265
 186,53;  319,031;  241,967;  348,122;72,59580
 187,13;  345,837;  257,569;  394,908;64,26967
 187,73;  294,929;  220,566;  335,660;64,61035
 188,33;  303,403;  254,365;  362,824;45,21353
 188,93;  310,095;  244,562;  398,475;42,57799
 189,53;  316,564;  258,559;  392,476;43,31423
 190,13;  364,588;  283,155;  430,284;55,34807
 190,73;  297,776;  220,558;  363,114;54,16682
 191,34;  313,135;  253,561;  378,621;47,63674
 191,94;  297,580;  240,364;  345,758;54,28793
 192,54;  295,362;  245,370;  399,729;32,38673
 193,14;  320,048;  248,969;  381,307;53,71032
 193,74;  320,951;  249,968;  364,047;62,22235
 194,34;  309,048;  227,969;  353,891;64,38802
 194,94;  281,837;  218,569;  355,716;46,13129
 195,54;  252,277;  215,168;  334,977;30,97341
 196,14;  287,442;  221,569;  355,380;49,22821
 196,74;  293,420;  216,167;  336,993;63,93723
 197,34;  257,773;  188,971;  344,465;44,24754
 197,94;  297,797;  220,769;  365,195;53,33377
 198,54;  294,568;  238,769;  365,333;44,08740
 199,14;  275,059;  213,971;  370,842;38,94137
