
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,289;  192,986;  201,498;297,28179
 176,32;  250,608;  222,384;  221,717; 0,00000
 176,92;  259,584;  241,385;  235,854; 0,00000
 177,52;  279,112;  259,786;  258,523; 0,00000
 178,12;  236,390;  246,984;  204,441; 0,00000
 178,72;  275,019;  250,783;  241,274; 0,00000
 179,32;  242,017;  247,384;  249,069;-318,42913
 179,92;  256,002;  231,385;  239,762;293,85318
 180,52;  251,754;  244,988;  241,098; 0,00000
 181,12;  269,099;  248,385;  229,716; 0,00000
 181,73;  300,007;  272,585;  262,308; 0,00000
 182,33;  369,988;  306,387;  321,281;427,02460
 182,93;  293,035;  256,186;  256,932; 0,00000
 183,53;  241,052;  246,183;  223,624; 0,00000
 184,13;  243,247;  236,383;  230,131; 0,00000
 184,73;  294,648;  249,982;  256,507;684,58815
 185,33;  274,129;  234,768;  346,100;35,35447
 185,93;  310,610;  232,166;  351,877;65,52746
 186,53;  334,146;  241,967;  348,122;86,83419
 187,13;  343,829;  257,569;  394,908;62,80796
 187,73;  309,594;  220,566;  335,660;77,35237
 188,33;  305,266;  254,365;  362,824;46,93142
 188,93;  327,071;  244,562;  398,475;53,60749
 189,53;  333,829;  258,559;  392,476;56,20629
 190,13;  377,642;  283,155;  430,284;64,22085
 190,73;  312,745;  220,558;  363,114;64,66744
 191,34;  347,754;  253,561;  378,621;75,31837
 191,94;  308,052;  240,364;  345,758;64,22349
 192,54;  338,972;  245,370;  399,729;60,63910
 193,14;  326,569;  248,969;  381,307;58,63817
 193,74;  318,251;  249,968;  364,047;59,85530
 194,34;  325,528;  227,969;  353,891;77,47525
 194,94;  285,636;  218,569;  355,716;48,90134
 195,54;  259,892;  215,168;  334,977;37,32933
 196,14;  301,590;  221,569;  355,380;59,80155
 196,74;  300,505;  216,167;  336,993;69,80128
 197,34;  250,054;  188,971;  344,465;39,28309
 197,94;  316,801;  220,769;  365,195;66,49253
 198,54;  300,143;  238,769;  365,333;48,49216
 199,14;  313,205;  213,971;  370,842;63,25858
