
Integration time [ms]: 130,000
Averaging Nr. [scans]: 7
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,288;  192,986;  201,498;85,78953
 176,32;  232,985;  222,384;  221,717; 0,00000
 176,92;  256,370;  241,385;  235,854; 0,00000
 177,52;  258,501;  259,786;  258,523; 0,00000
 178,12;  243,830;  246,984;  204,441; 0,00000
 178,72;  266,460;  250,783;  241,274; 0,00000
 179,32;  256,402;  247,384;  249,069;535,11481
 179,92;  251,725;  231,385;  239,762;242,80430
 180,52;  261,089;  244,988;  241,098; 0,00000
 181,12;  252,392;  248,385;  229,716; 0,00000
 181,73;  277,405;  272,585;  262,308; 0,00000
 182,33;  348,920;  306,387;  321,281;285,57128
 182,93;  258,882;  256,186;  256,932; 0,00000
 183,53;  239,804;  246,183;  223,624; 0,00000
 184,13;  242,996;  236,383;  230,131; 0,00000
 184,73;  274,804;  249,982;  256,507;380,43322
 185,33;  276,748;  234,768;  346,100;37,70673
 185,93;  295,434;  232,166;  351,877;52,85071
 186,53;  291,317;  241,967;  348,122;46,48865
 187,13;  337,679;  257,569;  394,908;58,32961
 187,73;  295,066;  220,566;  335,660;64,72936
 188,33;  316,278;  254,365;  362,824;57,08402
 188,93;  304,747;  244,562;  398,475;39,10302
 189,53;  321,539;  258,559;  392,476;47,02898
 190,13;  344,661;  283,155;  430,284;41,80416
 190,73;  278,370;  220,558;  363,114;40,55352
 191,34;  324,340;  253,561;  378,621;56,59609
 191,94;  287,097;  240,364;  345,758;44,34075
 192,54;  308,920;  245,370;  399,729;41,17004
 193,14;  318,142;  248,969;  381,307;52,27034
 193,74;  312,392;  249,968;  364,047;54,71938
 194,34;  310,739;  227,969;  353,891;65,73064
 194,94;  277,095;  218,569;  355,716;42,67376
 195,54;  267,295;  215,168;  334,977;43,50880
 196,14;  280,454;  221,569;  355,380;44,00566
 196,74;  264,128;  216,167;  336,993;39,69394
 197,34;  262,075;  188,971;  344,465;47,01430
 197,94;  293,607;  220,769;  365,195;50,43307
 198,54;  288,870;  238,769;  365,333;39,58577
 199,14;  277,827;  213,971;  370,842;40,70590
