
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  194,751;  198,978;  210,367;-37,11775
 176,32;  228,635;  223,883;  221,977; 0,00000
 176,92;  247,649;  255,050;  259,136;-181,08360
 177,52;  258,544;  257,206;  259,014;74,00981
 178,12;  238,925;  238,653;  217,980; 0,00000
 178,72;  254,947;  265,956;  241,166; 0,00000
 179,32;  251,084;  249,114;  248,004; 0,00000
 179,92;  247,689;  243,967;  248,088;90,32280
 180,52;  243,698;  239,373;  255,266;27,21385
 181,12;  240,013;  259,584;  240,457; 0,00000
 181,73;  273,785;  269,278;  273,227;114,10509
 182,33;  346,803;  333,442;  341,949;157,05353
 182,93;  277,956;  270,052;  266,048; 0,00000
 183,53;  237,106;  245,569;  230,047; 0,00000
 184,13;  240,756;  234,417;  235,633;521,24870
 184,73;  277,815;  272,797;  274,966;231,28908
 185,33;  254,220;  237,460;  356,573;14,07022
 185,93;  273,284;  245,216;  364,734;23,48453
 186,53;  286,108;  248,685;  385,075;27,43822
 187,13;  307,549;  272,930;  410,626;25,14173
 187,73;  268,567;  228,834;  375,777;27,03956
 188,33;  262,232;  235,365;  382,547;18,25441
 188,93;  275,137;  254,649;  375,881;16,89979
 189,53;  278,196;  249,170;  382,346;21,79545
 190,13;  311,384;  275,372;  407,450;27,26586
 190,73;  259,389;  218,699;  369,462;26,98903
 191,34;  291,671;  260,950;  394,351;23,02871
 191,94;  264,324;  233,742;  374,949;21,65804
 192,54;  285,579;  241,863;  406,089;26,61963
 193,14;  288,289;  270,005;  402,823;13,76605
 193,74;  285,344;  244,695;  399,055;26,33414
 194,34;  280,370;  254,239;  397,901;18,18883
 194,94;  251,932;  214,313;  354,164;26,89931
 195,54;  222,959;  196,922;  337,912;18,46696
 196,14;  243,579;  221,165;  372,265;14,83386
 196,74;  251,878;  215,611;  340,372;29,06904
 197,34;  237,648;  194,020;  349,811;28,00405
 197,94;  255,316;  222,853;  380,922;20,53692
 198,54;  271,567;  227,627;  391,370;26,83477
 199,14;  249,422;  212,871;  390,505;20,57688
