
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  197,720;  198,978;  210,367;-11,05048
 176,32;  220,407;  223,883;  221,977; 0,00000
 176,92;  257,540;  255,050;  259,136;60,92878
 177,52;  251,880;  257,206;  259,014;-294,46193
 178,12;  227,870;  238,653;  217,980; 0,00000
 178,72;  264,754;  265,956;  241,166; 0,00000
 179,32;  248,547;  249,114;  248,004; 0,00000
 179,92;  250,499;  243,967;  248,088;158,52328
 180,52;  241,622;  239,373;  255,266;14,15403
 181,12;  252,397;  259,584;  240,457; 0,00000
 181,73;  286,750;  269,278;  273,227;442,36837
 182,33;  352,360;  333,442;  341,949;222,38190
 182,93;  272,054;  270,052;  266,048; 0,00000
 183,53;  230,454;  245,569;  230,047; 0,00000
 184,13;  223,635;  234,417;  235,633;-886,73203
 184,73;  277,638;  272,797;  274,966;223,15301
 185,33;  261,879;  237,460;  356,573;20,50016
 185,93;  267,892;  245,216;  364,734;18,97245
 186,53;  288,215;  248,685;  385,075;28,98294
 187,13;  319,581;  272,930;  410,626;33,88017
 187,73;  267,455;  228,834;  375,777;26,28324
 188,33;  273,460;  235,365;  382,547;25,88326
 188,93;  280,108;  254,649;  375,881;21,00022
 189,53;  279,446;  249,170;  382,346;22,73412
 190,13;  320,837;  275,372;  407,450;34,42297
 190,73;  263,692;  218,699;  369,462;29,84326
 191,34;  291,380;  260,950;  394,351;22,81071
 191,94;  263,261;  233,742;  374,949;20,90510
 192,54;  292,821;  241,863;  406,089;31,02919
 193,14;  282,054;  270,005;  402,823; 9,07173
 193,74;  294,888;  244,695;  399,055;32,51661
 194,34;  285,837;  254,239;  397,901;21,99480
 194,94;  253,921;  214,313;  354,164;28,32148
 195,54;  233,789;  196,922;  337,912;26,14850
 196,14;  259,361;  221,165;  372,265;25,27874
 196,74;  249,775;  215,611;  340,372;27,38329
 197,34;  231,975;  194,020;  349,811;24,36271
 197,94;  269,974;  222,853;  380,922;29,81035
 198,54;  273,732;  227,627;  391,370;28,15702
 199,14;  255,342;  212,871;  390,505;23,90928
