
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  185,452;  175,948;  194,700;50,68248
 176,32;  221,627;  215,186;  201,671; 0,00000
 176,92;  238,120;  223,258;  222,829; 0,00000
 177,52;  248,386;  249,180;  250,319;-69,80560
 178,12;  220,273;  225,109;  202,264; 0,00000
 178,72;  250,039;  245,650;  242,863; 0,00000
 179,32;  236,617;  244,110;  229,855; 0,00000
 179,92;  241,625;  235,645;  229,912; 0,00000
 180,52;  234,621;  227,944;  238,096;65,76284
 181,12;  244,513;  237,798;  238,543; 0,00000
 181,73;  267,757;  257,490;  252,255; 0,00000
 182,33;  317,889;  294,717;  297,754;762,99163
 182,93;  256,885;  246,488;  246,131; 0,00000
 183,53;  227,618;  226,266;  213,999; 0,00000
 184,13;  230,086;  228,188;  213,107; 0,00000
 184,73;  256,651;  249,036;  243,693; 0,00000
 185,33;  251,899;  225,850;  332,731;24,37220
 185,93;  253,270;  229,548;  360,675;18,09086
 186,53;  253,191;  238,083;  376,224;10,93677
 187,13;  291,593;  269,770;  403,415;16,32890
 187,73;  242,861;  225,624;  359,191;12,90529
 188,33;  260,900;  231,935;  363,762;21,97253
 188,93;  272,226;  226,406;  368,024;32,35444
 189,53;  267,325;  237,952;  378,294;20,92950
 190,13;  292,703;  266,271;  407,455;18,72135
 190,73;  255,051;  212,109;  348,748;31,42729
 191,34;  280,805;  254,947;  369,125;22,64685
 191,94;  255,313;  223,092;  349,834;25,42296
 192,54;  282,042;  240,535;  384,422;28,84718
 193,14;  274,080;  246,924;  374,429;21,29751
 193,74;  264,621;  239,771;  371,906;18,80658
 194,34;  269,722;  224,384;  360,007;33,42935
 194,94;  229,656;  192,386;  348,549;23,86606
 195,54;  217,997;  195,619;  327,431;16,97720
 196,14;  252,807;  222,152;  354,568;23,15018
 196,74;  243,047;  202,851;  343,161;28,64775
 197,34;  216,136;  189,841;  345,876;16,85227
 197,94;  254,959;  220,462;  366,774;23,57774
 198,54;  252,028;  216,998;  381,983;21,23192
 199,14;  236,793;  199,531;  388,474;19,72103
