
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,717;  198,978;  210,367;32,82889
 176,32;  228,376;  223,883;  221,977; 0,00000
 176,92;  255,132;  255,050;  259,136; 2,01722
 177,52;  250,607;  257,206;  259,014;-364,87552
 178,12;  230,477;  238,653;  217,980; 0,00000
 178,72;  254,061;  265,956;  241,166; 0,00000
 179,32;  255,367;  249,114;  248,004; 0,00000
 179,92;  251,538;  243,967;  248,088;183,73743
 180,52;  240,947;  239,373;  255,266; 9,90648
 181,12;  251,568;  259,584;  240,457; 0,00000
 181,73;  268,720;  269,278;  273,227;-14,12499
 182,33;  347,290;  333,442;  341,949;162,78741
 182,93;  267,647;  270,052;  266,048; 0,00000
 183,53;  244,667;  245,569;  230,047; 0,00000
 184,13;  234,110;  234,417;  235,633;-25,26175
 184,73;  265,490;  272,797;  274,966;-336,80817
 185,33;  258,845;  237,460;  356,573;17,95306
 185,93;  261,726;  245,216;  364,734;13,81352
 186,53;  270,811;  248,685;  385,075;16,22263
 187,13;  298,769;  272,930;  410,626;18,76515
 187,73;  261,146;  228,834;  375,777;21,98930
 188,33;  259,255;  235,365;  382,547;16,23147
 188,93;  259,959;  254,649;  375,881; 4,37971
 189,53;  276,461;  249,170;  382,346;20,49200
 190,13;  307,580;  275,372;  407,450;24,38555
 190,73;  252,661;  218,699;  369,462;22,52654
 191,34;  285,064;  260,950;  394,351;18,07635
 191,94;  261,204;  233,742;  374,949;19,44838
 192,54;  269,041;  241,863;  406,089;16,54898
 193,14;  283,653;  270,005;  402,823;10,27564
 193,74;  271,526;  244,695;  399,055;17,38229
 194,34;  276,496;  254,239;  397,901;15,49247
 194,94;  237,616;  214,313;  354,164;16,66322
 195,54;  211,167;  196,922;  337,912;10,10337
 196,14;  244,320;  221,165;  372,265;15,32440
 196,74;  243,632;  215,611;  340,372;22,45931
 197,34;  217,721;  194,020;  349,811;15,21315
 197,94;  242,900;  222,853;  380,922;12,68273
 198,54;  261,080;  227,627;  391,370;20,43063
 199,14;  245,485;  212,871;  390,505;18,36023
