
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  194,919;  198,978;  210,367;-35,64219
 176,32;  217,451;  223,883;  221,977; 0,00000
 176,92;  249,727;  255,050;  259,136;-130,24293
 177,52;  257,550;  257,206;  259,014;19,05200
 178,12;  235,282;  238,653;  217,980; 0,00000
 178,72;  261,907;  265,956;  241,166; 0,00000
 179,32;  251,593;  249,114;  248,004; 0,00000
 179,92;  248,907;  243,967;  248,088;119,88145
 180,52;  244,119;  239,373;  255,266;29,86628
 181,12;  248,465;  259,584;  240,457; 0,00000
 181,73;  273,471;  269,278;  273,227;106,16285
 182,33;  346,898;  333,442;  341,949;158,17597
 182,93;  266,193;  270,052;  266,048; 0,00000
 183,53;  243,676;  245,569;  230,047; 0,00000
 184,13;  244,562;  234,417;  235,633;834,25164
 184,73;  265,763;  272,797;  274,966;-324,24408
 185,33;  254,607;  237,460;  356,573;14,39529
 185,93;  273,256;  245,216;  364,734;23,46071
 186,53;  271,711;  248,685;  385,075;16,88285
 187,13;  313,570;  272,930;  410,626;29,51480
 187,73;  263,466;  228,834;  375,777;23,56815
 188,33;  268,883;  235,365;  382,547;22,77333
 188,93;  277,194;  254,649;  375,881;18,59661
 189,53;  270,903;  249,170;  382,346;16,31926
 190,13;  318,253;  275,372;  407,450;32,46649
 190,73;  252,304;  218,699;  369,462;22,29011
 191,34;  299,481;  260,950;  394,351;28,88349
 191,94;  258,803;  233,742;  374,949;17,74792
 192,54;  275,857;  241,863;  406,089;20,69918
 193,14;  284,461;  270,005;  402,823;10,88409
 193,74;  291,434;  244,695;  399,055;30,27911
 194,34;  277,319;  254,239;  397,901;16,06510
 194,94;  235,103;  214,313;  354,164;14,86628
 195,54;  228,732;  196,922;  337,912;22,56180
 196,14;  251,612;  221,165;  372,265;20,15032
 196,74;  238,875;  215,611;  340,372;18,64634
 197,34;  226,317;  194,020;  349,811;20,73088
 197,94;  252,107;  222,853;  380,922;18,50724
 198,54;  261,138;  227,627;  391,370;20,46596
 199,14;  242,180;  212,871;  390,505;16,49957
