
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  189,836;  175,948;  194,700;74,06339
 176,32;  221,322;  215,186;  201,671; 0,00000
 176,92;  245,778;  223,258;  222,829; 0,00000
 177,52;  243,194;  249,180;  250,319;-525,83145
 178,12;  218,453;  225,109;  202,264; 0,00000
 178,72;  245,436;  245,650;  242,863; 0,00000
 179,32;  241,002;  244,110;  229,855; 0,00000
 179,92;  250,400;  235,645;  229,912; 0,00000
 180,52;  238,402;  227,944;  238,096;103,00606
 181,12;  249,714;  237,798;  238,543; 0,00000
 181,73;  265,627;  257,490;  252,255; 0,00000
 182,33;  318,720;  294,717;  297,754;790,33280
 182,93;  260,377;  246,488;  246,131; 0,00000
 183,53;  224,771;  226,266;  213,999; 0,00000
 184,13;  224,016;  228,188;  213,107; 0,00000
 184,73;  258,420;  249,036;  243,693; 0,00000
 185,33;  253,645;  225,850;  332,731;26,00519
 185,93;  261,579;  229,548;  360,675;24,42753
 186,53;  269,041;  238,083;  376,224;22,41040
 187,13;  305,912;  269,770;  403,415;27,04372
 187,73;  254,462;  225,624;  359,191;21,59106
 188,33;  271,491;  231,935;  363,762;30,00627
 188,93;  274,422;  226,406;  368,024;33,90507
 189,53;  277,618;  237,952;  378,294;28,26386
 190,13;  304,413;  266,271;  407,455;27,01555
 190,73;  247,881;  212,109;  348,748;26,18003
 191,34;  281,930;  254,947;  369,125;23,63247
 191,94;  257,336;  223,092;  349,834;27,01872
 192,54;  285,786;  240,535;  384,422;31,44927
 193,14;  283,432;  246,924;  374,429;28,63237
 193,74;  281,583;  239,771;  371,906;31,64350
 194,34;  272,257;  224,384;  360,007;35,29859
 194,94;  240,077;  192,386;  348,549;30,53906
 195,54;  221,917;  195,619;  327,431;19,95142
 196,14;  245,444;  222,152;  354,568;17,58950
 196,74;  245,400;  202,851;  343,161;30,32473
 197,34;  230,292;  189,841;  345,876;25,92429
 197,94;  242,753;  220,462;  366,774;15,23536
 198,54;  261,893;  216,998;  381,983;27,21153
 199,14;  237,569;  199,531;  388,474;20,13169
