
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,253;  198,978;  210,367;19,97129
 176,32;  214,410;  223,883;  221,977; 0,00000
 176,92;  250,809;  255,050;  259,136;-103,76260
 177,52;  254,289;  257,206;  259,014;-161,28758
 178,12;  236,589;  238,653;  217,980; 0,00000
 178,72;  263,162;  265,956;  241,166; 0,00000
 179,32;  255,093;  249,114;  248,004; 0,00000
 179,92;  247,972;  243,967;  248,088;97,18863
 180,52;  221,504;  239,373;  255,266;-112,42446
 181,12;  248,389;  259,584;  240,457; 0,00000
 181,73;  270,314;  269,278;  273,227;26,22862
 182,33;  347,292;  333,442;  341,949;162,80327
 182,93;  262,405;  270,052;  266,048; 0,00000
 183,53;  225,838;  245,569;  230,047; 0,00000
 184,13;  243,980;  234,417;  235,633;786,41417
 184,73;  277,350;  272,797;  274,966;209,85961
 185,33;  249,545;  237,460;  356,573;10,14558
 185,93;  263,474;  245,216;  364,734;15,27631
 186,53;  275,190;  248,685;  385,075;19,43333
 187,13;  300,794;  272,930;  410,626;20,23622
 187,73;  266,436;  228,834;  375,777;25,58987
 188,33;  271,837;  235,365;  382,547;24,78044
 188,93;  270,490;  254,649;  375,881;13,06634
 189,53;  266,644;  249,170;  382,346;13,12118
 190,13;  312,161;  275,372;  407,450;27,85415
 190,73;  242,286;  218,699;  369,462;15,64479
 191,34;  287,196;  260,950;  394,351;19,67411
 191,94;  257,231;  233,742;  374,949;16,63465
 192,54;  282,859;  241,863;  406,089;24,96288
 193,14;  286,291;  270,005;  402,823;12,26187
 193,74;  281,697;  244,695;  399,055;23,97145
 194,34;  276,679;  254,239;  397,901;15,62023
 194,94;  247,715;  214,313;  354,164;23,88449
 195,54;  216,023;  196,922;  337,912;13,54723
 196,14;  248,126;  221,165;  372,265;17,84302
 196,74;  240,634;  215,611;  340,372;20,05658
 197,34;  223,392;  194,020;  349,811;18,85320
 197,94;  255,004;  222,853;  380,922;20,33977
 198,54;  257,501;  227,627;  391,370;18,24482
 199,14;  238,936;  212,871;  390,505;14,67323
