
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  191,858;  176,239;  216,377;38,91171
 176,32;  235,229;  211,934;  220,629;267,89950
 176,92;  258,539;  225,163;  254,806;112,59340
 177,52;  265,766;  252,086;  276,497;56,04305
 178,12;  241,989;  223,549;  229,646;302,42002
 178,72;  273,878;  243,857;  246,426;1168,61553
 179,32;  250,293;  236,780;  245,502;154,93136
 179,92;  253,438;  232,933;  243,184;200,02572
 180,52;  252,526;  234,084;  251,849;103,81380
 181,12;  266,623;  235,010;  258,040;137,26603
 181,73;  282,335;  253,163;  272,610;150,00356
 182,33;  361,007;  298,008;  354,611;111,29891
 182,93;  272,868;  245,240;  267,679;123,12317
 183,53;  242,392;  227,319;  231,255;382,98415
 184,13;  242,146;  231,011;  230,121; 0,00000
 184,73;  272,305;  249,935;  276,206;85,15211
 185,33;  264,599;  222,716;  348,805;33,21706
 185,93;  280,057;  214,717;  380,479;39,41762
 186,53;  293,881;  241,332;  381,727;37,42959
 187,13;  305,402;  264,099;  406,630;28,97802
 187,73;  276,667;  220,102;  379,098;35,57660
 188,33;  272,944;  227,718;  376,187;30,46183
 188,93;  286,051;  231,182;  389,757;34,60124
 189,53;  290,604;  240,799;  389,798;33,42631
 190,13;  316,930;  271,649;  443,566;26,33932
 190,73;  266,847;  217,185;  377,425;30,99230
 191,34;  304,433;  254,183;  413,712;31,49901
 191,94;  267,719;  227,565;  367,514;28,69197
 192,54;  289,548;  237,868;  406,065;30,72619
 193,14;  293,973;  248,715;  393,108;31,34384
 193,74;  299,001;  249,561;  386,677;36,05713
 194,34;  292,474;  235,099;  379,479;39,73868
 194,94;  250,229;  206,792;  347,521;30,86540
 195,54;  231,884;  196,177;  321,772;28,42996
 196,14;  266,333;  218,484;  355,903;34,81990
 196,74;  252,999;  211,331;  351,478;29,73118
 197,34;  240,036;  187,252;  345,540;33,34680
 197,94;  269,634;  225,715;  362,779;32,04303
 198,54;  278,858;  217,484;  389,006;35,78223
 199,14;  257,479;  197,636;  381,096;32,61901
 199,74;  239,993;  198,097;  381,375;22,85894
