
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,623;  176,239;  192,535;168,03960
 176,32;  225,255;  211,934;  210,654; 0,00000
 176,92;  247,526;  225,163;  228,142;750,67736
 177,52;  258,523;  252,086;  251,024; 0,00000
 178,12;  233,601;  223,549;  212,736; 0,00000
 178,72;  262,141;  243,857;  232,990; 0,00000
 179,32;  247,852;  236,780;  232,605; 0,00000
 179,92;  249,104;  232,933;  233,930; 0,00000
 180,52;  243,267;  234,084;  244,758;86,03098
 181,12;  248,069;  235,010;  240,995;218,21544
 181,73;  280,584;  253,163;  254,844;1631,66727
 182,33;  346,669;  298,008;  297,582; 0,00000
 182,93;  269,684;  245,240;  250,595;456,42735
 183,53;  242,003;  227,319;  217,483; 0,00000
 184,13;  242,704;  231,011;  221,458; 0,00000
 184,73;  269,527;  249,935;  249,706; 0,00000
 185,33;  254,843;  222,716;  326,527;30,94757
 185,93;  274,159;  214,717;  353,127;42,94578
 186,53;  272,392;  241,332;  365,557;25,00344
 187,13;  304,049;  264,099;  400,362;29,31820
 187,73;  267,128;  220,102;  360,559;33,48085
 188,33;  267,670;  227,718;  355,547;31,25444
 188,93;  275,072;  231,182;  389,767;27,67628
 189,53;  276,152;  240,799;  397,281;22,59211
 190,13;  309,149;  271,649;  418,569;25,52451
 190,73;  260,672;  217,185;  353,690;31,85768
 191,34;  283,370;  254,183;  378,073;23,55903
 191,94;  255,901;  227,565;  351,476;22,86813
 192,54;  291,921;  237,868;  391,072;35,28176
 193,14;  282,989;  248,715;  367,171;28,93394
 193,74;  276,614;  249,561;  377,015;21,22522
 194,34;  283,557;  235,099;  373,562;34,99679
 194,94;  244,150;  206,792;  326,435;31,22432
 195,54;  220,479;  196,177;  306,559;22,01648
 196,14;  252,782;  218,484;  345,393;27,02590
 196,74;  234,450;  211,331;  332,860;19,02315
 197,34;  218,471;  187,252;  341,491;20,24088
 197,94;  256,462;  225,715;  366,581;21,82713
 198,54;  256,764;  217,484;  375,036;24,93196
 199,14;  244,477;  197,636;  374,578;26,47249
