
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,045;  176,239;  216,377;91,69846
 176,32;  229,057;  211,934;  220,629;196,91805
 176,92;  249,350;  225,163;  254,806;81,59296
 177,52;  254,420;  252,086;  276,497; 9,56214
 178,12;  233,200;  223,549;  229,646;158,28135
 178,72;  270,327;  243,857;  246,426;1030,38295
 179,32;  253,198;  236,780;  245,502;188,23500
 179,92;  246,103;  232,933;  243,184;128,46805
 180,52;  245,239;  234,084;  251,849;62,79360
 181,12;  257,978;  235,010;  258,040;99,72916
 181,73;  280,611;  253,163;  272,610;141,13829
 182,33;  347,345;  298,008;  354,611;87,16379
 182,93;  271,137;  245,240;  267,679;115,41099
 183,53;  237,691;  227,319;  231,255;263,53096
 184,13;  245,441;  231,011;  230,121; 0,00000
 184,73;  260,761;  249,935;  276,206;41,20954
 185,33;  267,891;  222,716;  348,805;35,82833
 185,93;  284,982;  214,717;  380,479;42,38911
 186,53;  292,489;  241,332;  381,727;36,43844
 187,13;  315,145;  264,099;  406,630;35,81394
 187,73;  273,129;  220,102;  379,098;33,35113
 188,33;  289,339;  227,718;  376,187;41,50416
 188,93;  285,246;  231,182;  389,757;34,09378
 189,53;  289,054;  240,799;  389,798;32,38617
 190,13;  329,035;  271,649;  443,566;33,38040
 190,73;  260,848;  217,185;  377,425;27,24867
 191,34;  307,253;  254,183;  413,712;33,26658
 191,94;  279,816;  227,565;  367,514;37,33606
 192,54;  286,970;  237,868;  406,065;29,19316
 193,14;  307,564;  248,715;  393,108;40,75652
 193,74;  294,519;  249,561;  386,677;32,78808
 194,34;  293,061;  235,099;  379,479;40,14519
 194,94;  260,435;  206,792;  347,521;38,11830
 195,54;  250,406;  196,177;  321,772;43,17777
 196,14;  267,223;  218,484;  355,903;35,46790
 196,74;  262,756;  211,331;  351,478;36,69356
 197,34;  240,915;  187,252;  345,540;33,90199
 197,94;  266,992;  225,715;  362,779;30,11555
 198,54;  281,441;  217,484;  389,006;37,28808
 199,14;  253,197;  197,636;  381,096;30,28528
 199,74;  254,249;  198,097;  381,375;30,63764
