
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,653;  176,239;  216,377;65,80593
 176,32;  240,516;  211,934;  220,629;328,69648
 176,92;  258,651;  225,163;  254,806;112,96974
 177,52;  263,380;  252,086;  276,497;46,26703
 178,12;  230,851;  223,549;  229,646;119,74998
 178,72;  267,398;  243,857;  246,426;916,36760
 179,32;  257,192;  236,780;  245,502;234,02651
 179,92;  250,555;  232,933;  243,184;171,90503
 180,52;  241,828;  234,084;  251,849;43,58896
 181,12;  260,115;  235,010;  258,040;109,00830
 181,73;  276,603;  253,163;  272,610;120,53008
 182,33;  357,591;  298,008;  354,611;105,26457
 182,93;  271,699;  245,240;  267,679;117,91338
 183,53;  246,844;  227,319;  231,255;496,12316
 184,13;  243,656;  231,011;  230,121; 0,00000
 184,73;  286,253;  249,935;  276,206;138,24170
 185,33;  261,595;  222,716;  348,805;30,83466
 185,93;  276,054;  214,717;  380,479;37,00281
 186,53;  283,555;  241,332;  381,727;30,07457
 187,13;  308,128;  264,099;  406,630;30,89095
 187,73;  272,223;  220,102;  379,098;32,78157
 188,33;  271,195;  227,718;  376,187;29,28342
 188,93;  277,067;  231,182;  389,757;28,93560
 189,53;  274,985;  240,799;  389,798;22,94336
 190,13;  317,547;  271,649;  443,566;26,69788
 190,73;  262,353;  217,185;  377,425;28,18781
 191,34;  285,554;  254,183;  413,712;19,66519
 191,94;  264,018;  227,565;  367,514;26,04764
 192,54;  282,287;  237,868;  406,065;26,40883
 193,14;  284,245;  248,715;  393,108;24,60625
 193,74;  286,834;  249,561;  386,677;27,18347
 194,34;  284,374;  235,099;  379,479;34,12896
 194,94;  243,717;  206,792;  347,521;26,23861
 195,54;  229,144;  196,177;  321,772;26,24862
 196,14;  258,318;  218,484;  355,903;28,98727
 196,74;  245,783;  211,331;  351,478;24,58292
 197,34;  227,708;  187,252;  345,540;25,55842
 197,94;  256,458;  225,715;  362,779;22,42967
 198,54;  278,763;  217,484;  389,006;35,72660
 199,14;  251,633;  197,636;  381,096;29,43269
 199,74;  242,468;  198,097;  381,375;24,20960
