
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,763;  176,239;  192,535;168,90075
 176,32;  214,823;  211,934;  210,654; 0,00000
 176,92;  256,720;  225,163;  228,142;1059,30965
 177,52;  261,612;  252,086;  251,024; 0,00000
 178,12;  231,767;  223,549;  212,736; 0,00000
 178,72;  258,177;  243,857;  232,990; 0,00000
 179,32;  261,024;  236,780;  232,605; 0,00000
 179,92;  254,417;  232,933;  233,930; 0,00000
 180,52;  252,120;  234,084;  244,758;168,97094
 181,12;  245,783;  235,010;  240,995;180,01454
 181,73;  278,607;  253,163;  254,844;1514,00984
 182,33;  341,783;  298,008;  297,582; 0,00000
 182,93;  265,415;  245,240;  250,595;376,72045
 183,53;  235,969;  227,319;  217,483; 0,00000
 184,13;  240,010;  231,011;  221,458; 0,00000
 184,73;  278,663;  249,935;  249,706; 0,00000
 185,33;  268,423;  222,716;  326,527;44,02901
 185,93;  281,193;  214,717;  353,127;48,02782
 186,53;  297,786;  241,332;  365,557;45,44494
 187,13;  319,186;  264,099;  400,362;40,42706
 187,73;  286,367;  220,102;  360,559;47,17798
 188,33;  281,115;  227,718;  355,547;41,77245
 188,93;  295,123;  231,182;  389,767;40,31995
 189,53;  307,038;  240,799;  397,281;42,32979
 190,13;  347,772;  271,649;  418,569;51,81258
 190,73;  302,754;  217,185;  353,690;62,68555
 191,34;  320,880;  254,183;  378,073;53,83593
 191,94;  281,287;  227,565;  351,476;43,35587
 192,54;  305,931;  237,868;  391,072;44,42648
 193,14;  308,405;  248,715;  367,171;50,39007
 193,74;  293,702;  249,561;  377,015;34,63239
 194,34;  281,514;  235,099;  373,562;33,52138
 194,94;  248,824;  206,792;  326,435;35,13122
 195,54;  233,798;  196,177;  306,559;34,08276
 196,14;  269,178;  218,484;  345,393;39,94571
 196,74;  246,459;  211,331;  332,860;28,90453
 197,34;  243,395;  187,252;  341,491;36,39983
 197,94;  259,750;  225,715;  366,581;24,16142
 198,54;  275,995;  217,484;  375,036;37,13759
 199,14;  262,558;  197,636;  374,578;36,69116
