
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,631;  176,239;  216,377;73,22757
 176,32;  224,086;  211,934;  220,629;139,74899
 176,92;  262,225;  225,163;  254,806;125,02924
 177,52;  263,792;  252,086;  276,497;47,95558
 178,12;  238,365;  223,549;  229,646;242,99089
 178,72;  259,451;  243,857;  246,426;607,00517
 179,32;  256,606;  236,780;  245,502;227,30895
 179,92;  254,878;  232,933;  243,184;214,07143
 180,52;  241,562;  234,084;  251,849;42,09451
 181,12;  254,246;  235,010;  258,040;83,52380
 181,73;  276,244;  253,163;  272,610;118,68402
 182,33;  365,472;  298,008;  354,611;119,18888
 182,93;  268,642;  245,240;  267,679;104,28939
 183,53;  238,967;  227,319;  231,255;295,97365
 184,13;  238,011;  231,011;  230,121; 0,00000
 184,73;  287,151;  249,935;  276,206;141,66360
 185,33;  288,295;  222,716;  348,805;52,01014
 185,93;  300,045;  214,717;  380,479;51,47605
 186,53;  306,914;  241,332;  381,727;46,71282
 187,13;  330,689;  264,099;  406,630;46,71976
 187,73;  298,194;  220,102;  379,098;49,11576
 188,33;  303,789;  227,718;  376,187;51,23737
 188,93;  303,329;  231,182;  389,757;45,49728
 189,53;  312,546;  240,799;  389,798;48,15276
 190,13;  344,372;  271,649;  443,566;42,30156
 190,73;  287,707;  217,185;  377,425;44,01044
 191,34;  331,457;  254,183;  413,712;48,43886
 191,94;  293,681;  227,565;  367,514;47,24317
 192,54;  314,705;  237,868;  406,065;45,68299
 193,14;  316,226;  248,715;  393,108;46,75522
 193,74;  299,893;  249,561;  386,677;36,70784
 194,34;  310,146;  235,099;  379,479;51,97857
 194,94;  278,614;  206,792;  347,521;51,03574
 195,54;  253,633;  196,177;  321,772;45,74689
 196,14;  291,259;  218,484;  355,903;52,95888
 196,74;  276,790;  211,331;  351,478;46,70751
 197,34;  254,453;  187,252;  345,540;42,45478
 197,94;  284,569;  225,715;  362,779;42,93906
 198,54;  293,625;  217,484;  389,006;44,39176
 199,14;  271,986;  197,636;  381,096;40,52636
 199,74;  265,598;  198,097;  381,375;36,82952
