
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  196,268;  176,239;  192,535;122,90822
 176,32;  216,895;  211,934;  210,654; 0,00000
 176,92;  241,188;  225,163;  228,142;537,92717
 177,52;  252,489;  252,086;  251,024; 0,00000
 178,12;  233,192;  223,549;  212,736; 0,00000
 178,72;  258,780;  243,857;  232,990; 0,00000
 179,32;  242,421;  236,780;  232,605; 0,00000
 179,92;  238,249;  232,933;  233,930; 0,00000
 180,52;  243,539;  234,084;  244,758;88,58229
 181,12;  251,739;  235,010;  240,995;279,53797
 181,73;  266,834;  253,163;  254,844;813,45319
 182,33;  327,107;  298,008;  297,582; 0,00000
 182,93;  260,130;  245,240;  250,595;278,02367
 183,53;  246,760;  227,319;  217,483; 0,00000
 184,13;  230,741;  231,011;  221,458; 0,00000
 184,73;  267,676;  249,935;  249,706; 0,00000
 185,33;  247,345;  222,716;  326,527;23,72544
 185,93;  261,590;  214,717;  353,127;33,86512
 186,53;  278,559;  241,332;  365,557;29,96721
 187,13;  302,214;  264,099;  400,362;27,97176
 187,73;  261,813;  220,102;  360,559;29,69700
 188,33;  265,793;  227,718;  355,547;29,78559
 188,93;  278,854;  231,182;  389,767;30,06087
 189,53;  288,431;  240,799;  397,281;30,43924
 190,13;  313,720;  271,649;  418,569;28,63544
 190,73;  247,994;  217,185;  353,690;22,57024
 191,34;  282,476;  254,183;  378,073;22,83716
 191,94;  259,655;  227,565;  351,476;25,89763
 192,54;  278,885;  237,868;  391,072;26,77310
 193,14;  289,095;  248,715;  367,171;34,08872
 193,74;  273,434;  249,561;  377,015;18,73056
 194,34;  268,976;  235,099;  373,562;24,46631
 194,94;  246,812;  206,792;  326,435;33,44981
 195,54;  222,937;  196,177;  306,559;24,24291
 196,14;  243,831;  218,484;  345,393;19,97277
 196,74;  242,210;  211,331;  332,860;25,40842
 197,34;  215,061;  187,252;  341,491;18,02974
 197,94;  255,369;  225,715;  366,581;21,05156
 198,54;  255,049;  217,484;  375,036;23,84292
 199,14;  238,497;  197,636;  374,578;23,09321
