
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,298;  176,239;  216,377;67,41460
 176,32;  226,501;  211,934;  220,629;167,52918
 176,92;  258,519;  225,163;  254,806;112,52712
 177,52;  259,699;  252,086;  276,497;31,18967
 178,12;  238,347;  223,549;  229,646;242,69633
 178,72;  269,554;  243,857;  246,426;1000,29521
 179,32;  249,564;  236,780;  245,502;146,57725
 179,92;  260,804;  232,933;  243,184;271,87579
 180,52;  251,403;  234,084;  251,849;97,48817
 181,12;  259,005;  235,010;  258,040;104,19048
 181,73;  271,662;  253,163;  272,610;95,12024
 182,33;  354,241;  298,008;  354,611;99,34597
 182,93;  271,336;  245,240;  267,679;116,29676
 183,53;  247,262;  227,319;  231,255;506,73510
 184,13;  241,666;  231,011;  230,121; 0,00000
 184,73;  283,068;  249,935;  276,206;126,12037
 185,33;  279,396;  222,716;  348,805;44,95262
 185,93;  282,064;  214,717;  380,479;40,62847
 186,53;  288,981;  241,332;  381,727;33,93976
 187,13;  319,383;  264,099;  406,630;38,78726
 187,73;  289,776;  220,102;  379,098;43,82125
 188,33;  303,879;  227,718;  376,187;51,29782
 188,93;  301,520;  231,182;  389,757;44,35618
 189,53;  295,604;  240,799;  389,798;36,78188
 190,13;  333,850;  271,649;  443,566;36,18108
 190,73;  275,954;  217,185;  377,425;36,67543
 191,34;  304,043;  254,183;  413,712;31,25440
 191,94;  285,857;  227,565;  367,514;41,65264
 192,54;  294,976;  237,868;  406,065;33,95332
 193,14;  301,552;  248,715;  393,108;36,59252
 193,74;  290,393;  249,561;  386,677;29,77901
 194,34;  293,710;  235,099;  379,479;40,59510
 194,94;  267,265;  206,792;  347,521;42,97153
 195,54;  250,459;  196,177;  321,772;43,21963
 196,14;  262,302;  218,484;  355,903;31,88692
 196,74;  267,608;  211,331;  351,478;40,15567
 197,34;  248,428;  187,252;  345,540;38,64892
 197,94;  270,159;  225,715;  362,779;32,42583
 198,54;  282,981;  217,484;  389,006;38,18572
 199,14;  256,397;  197,636;  381,096;32,02913
 199,74;  248,760;  198,097;  381,375;27,64257
