
Integration time [ms]: 115,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,626;  176,239;  216,377;68,23196
 176,32;  227,402;  211,934;  220,629;177,88201
 176,92;  249,887;  225,163;  254,806;83,40629
 177,52;  257,741;  252,086;  276,497;23,16795
 178,12;  244,136;  223,549;  229,646;337,64022
 178,72;  255,190;  243,857;  246,426;441,16850
 179,32;  248,230;  236,780;  245,502;131,27797
 179,92;  254,053;  232,933;  243,184;206,02692
 180,52;  242,624;  234,084;  251,849;48,06915
 181,12;  249,486;  235,010;  258,040;62,85865
 181,73;  277,393;  253,163;  272,610;124,59392
 182,33;  345,451;  298,008;  354,611;83,81613
 182,93;  268,209;  245,240;  267,679;102,35920
 183,53;  240,271;  227,319;  231,255;329,08645
 184,13;  231,906;  231,011;  230,121; 0,00000
 184,73;  279,552;  249,935;  276,206;112,73816
 185,33;  263,977;  222,716;  348,805;32,72355
 185,93;  276,461;  214,717;  380,479;37,24856
 186,53;  294,728;  241,332;  381,727;38,03309
 187,13;  315,836;  264,099;  406,630;36,29896
 187,73;  273,362;  220,102;  379,098;33,49817
 188,33;  295,255;  227,718;  376,187;45,48896
 188,93;  306,392;  231,182;  389,757;47,42878
 189,53;  290,310;  240,799;  389,798;33,22905
 190,13;  339,554;  271,649;  443,566;39,49911
 190,73;  269,094;  217,185;  377,425;32,39463
 191,34;  322,120;  254,183;  413,712;42,58580
 191,94;  286,679;  227,565;  367,514;42,23997
 192,54;  295,373;  237,868;  406,065;34,18922
 193,14;  293,539;  248,715;  393,108;31,04335
 193,74;  294,768;  249,561;  386,677;32,96955
 194,34;  297,353;  235,099;  379,479;43,11814
 194,94;  252,314;  206,792;  347,521;32,34744
 195,54;  233,001;  196,177;  321,772;29,31956
 196,14;  258,208;  218,484;  355,903;28,90751
 196,74;  249,957;  211,331;  351,478;27,56059
 197,34;  239,554;  187,252;  345,540;33,04214
 197,94;  268,559;  225,715;  362,779;31,25831
 198,54;  274,806;  217,484;  389,006;33,41953
 199,14;  269,197;  197,636;  381,096;39,00635
 199,74;  239,038;  198,097;  381,375;22,33778
