
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,780;  202,673;  202,814; 0,00000
 176,32;  221,090;  225,431;  219,229; 0,00000
 176,92;  248,153;  241,593;  259,926;35,78217
 177,52;  261,504;  251,671;  258,560;142,74405
 178,12;  229,071;  228,123;  221,690; 0,00000
 178,72;  258,258;  262,428;  250,906; 0,00000
 179,32;  259,616;  256,969;  246,180; 0,00000
 179,92;  253,590;  244,743;  247,528;317,68537
 180,52;  237,166;  240,295;  251,040;-29,11442
 181,12;  263,065;  250,513;  250,351; 0,00000
 181,73;  276,602;  264,591;  277,112;95,93162
 182,33;  345,289;  344,982;  351,462; 4,73575
 182,93;  281,224;  260,594;  266,980;323,07758
 183,53;  233,347;  240,272;  226,189; 0,00000
 184,13;  234,221;  234,428;  232,913; 0,00000
 184,73;  288,599;  272,348;  270,276; 0,00000
 185,33;  272,403;  227,895;  345,845;37,73424
 185,93;  264,805;  241,810;  363,162;18,94904
 186,53;  283,844;  245,969;  383,769;27,48545
 187,13;  313,868;  274,977;  418,310;27,13276
 187,73;  277,545;  236,042;  378,887;29,05426
 188,33;  279,381;  240,114;  373,931;29,34316
 188,93;  269,801;  258,330;  373,870; 9,92767
 189,53;  287,901;  257,396;  374,368;26,07878
 190,13;  318,386;  277,224;  424,265;27,99364
 190,73;  262,576;  216,698;  365,464;30,83915
 191,34;  293,735;  258,249;  403,767;24,38561
 191,94;  270,183;  218,263;  371,997;33,77257
 192,54;  294,567;  243,523;  387,787;35,38241
 193,14;  300,457;  247,900;  396,592;35,34630
 193,74;  291,364;  257,129;  400,532;23,87351
 194,34;  288,684;  240,671;  386,728;32,87291
 194,94;  252,639;  220,361;  356,781;23,66048
 195,54;  221,294;  204,742;  327,334;13,50205
 196,14;  261,117;  227,827;  378,689;22,06703
 196,74;  252,913;  222,971;  359,044;22,00477
 197,34;  240,474;  197,063;  371,027;24,95391
 197,94;  270,710;  228,132;  384,373;27,25191
 198,54;  261,336;  235,596;  395,794;16,06771
 199,14;  238,161;  219,374;  388,308;11,12097
