
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,289;  202,673;  202,814; 0,00000
 176,32;  231,747;  225,431;  219,229; 0,00000
 176,92;  256,854;  241,593;  259,926;83,24502
 177,52;  256,094;  251,671;  258,560;64,21082
 178,12;  235,790;  228,123;  221,690; 0,00000
 178,72;  265,764;  262,428;  250,906; 0,00000
 179,32;  254,498;  256,969;  246,180; 0,00000
 179,92;  256,556;  244,743;  247,528;424,19275
 180,52;  240,983;  240,295;  251,040; 6,40631
 181,12;  250,298;  250,513;  250,351; 0,00000
 181,73;  276,897;  264,591;  277,112;98,29060
 182,33;  348,268;  344,982;  351,462;50,70312
 182,93;  267,331;  260,594;  266,980;105,49726
 183,53;  236,459;  240,272;  226,189; 0,00000
 184,13;  234,942;  234,428;  232,913; 0,00000
 184,73;  279,509;  272,348;  270,276; 0,00000
 185,33;  263,264;  227,895;  345,845;29,98656
 185,93;  273,512;  241,810;  363,162;26,12355
 186,53;  286,628;  245,969;  383,769;29,50636
 187,13;  313,897;  274,977;  418,310;27,15353
 187,73;  265,414;  236,042;  378,887;20,56187
 188,33;  272,380;  240,114;  373,931;24,11137
 188,93;  290,351;  258,330;  373,870;27,71433
 189,53;  283,337;  257,396;  374,368;22,17733
 190,13;  323,952;  277,224;  424,265;31,77889
 190,73;  262,194;  216,698;  365,464;30,58213
 191,34;  293,998;  258,249;  403,767;24,56698
 191,94;  265,954;  218,263;  371,997;31,02155
 192,54;  296,208;  243,523;  387,787;36,52044
 193,14;  299,753;  247,900;  396,592;34,87325
 193,74;  283,288;  257,129;  400,532;18,24188
 194,34;  282,799;  240,671;  386,728;28,84398
 194,94;  254,528;  220,361;  356,781;25,04560
 195,54;  239,597;  204,742;  327,334;28,43156
 196,14;  261,271;  227,827;  378,689;22,16904
 196,74;  254,166;  222,971;  359,044;22,92539
 197,34;  235,006;  197,063;  371,027;21,81070
 197,94;  259,235;  228,132;  384,373;19,90747
 198,54;  276,407;  235,596;  395,794;25,47567
 199,14;  253,267;  219,374;  388,308;20,06312
