
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,032;  202,673;  202,814; 0,00000
 176,32;  224,278;  225,431;  219,229; 0,00000
 176,92;  247,651;  241,593;  259,926;33,04796
 177,52;  246,628;  251,671;  258,560;-73,20135
 178,12;  231,776;  228,123;  221,690; 0,00000
 178,72;  262,268;  262,428;  250,906; 0,00000
 179,32;  262,960;  256,969;  246,180; 0,00000
 179,92;  250,260;  244,743;  247,528;198,11831
 180,52;  240,515;  240,295;  251,040; 2,05461
 181,12;  254,774;  250,513;  250,351; 0,00000
 181,73;  272,033;  264,591;  277,112;59,43701
 182,33;  350,640;  344,982;  351,462;87,31009
 182,93;  268,049;  260,594;  266,980;116,74280
 183,53;  243,439;  240,272;  226,189; 0,00000
 184,13;  238,852;  234,428;  232,913; 0,00000
 184,73;  276,759;  272,348;  270,276; 0,00000
 185,33;  273,306;  227,895;  345,845;38,50024
 185,93;  278,563;  241,810;  363,162;30,28594
 186,53;  289,468;  245,969;  383,769;31,56736
 187,13;  312,762;  274,977;  418,310;26,36125
 187,73;  276,555;  236,042;  378,887;28,36120
 188,33;  282,992;  240,114;  373,931;32,04226
 188,93;  285,037;  258,330;  373,870;23,11460
 189,53;  296,903;  257,396;  374,368;33,77494
 190,13;  323,567;  277,224;  424,265;31,51706
 190,73;  267,241;  216,698;  365,464;33,97507
 191,34;  311,019;  258,249;  403,767;36,26341
 191,94;  262,491;  218,263;  371,997;28,76897
 192,54;  286,841;  243,523;  387,787;30,02693
 193,14;  311,006;  247,900;  396,592;42,44121
 193,74;  299,065;  257,129;  400,532;29,24355
 194,34;  293,908;  240,671;  386,728;36,44928
 194,94;  254,196;  220,361;  356,781;24,80195
 195,54;  248,410;  204,742;  327,334;35,62036
 196,14;  264,788;  227,827;  378,689;24,50006
 196,74;  258,355;  222,971;  359,044;26,00354
 197,34;  233,578;  197,063;  371,027;20,98969
 197,94;  277,362;  228,132;  384,373;31,50941
 198,54;  285,701;  235,596;  395,794;31,27686
 199,14;  261,045;  219,374;  388,308;24,66696
