
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  187,120;  178,742;  189,684;76,56833
 176,32;  210,311;  214,758;  203,868; 0,00000
 176,92;  217,858;  216,593;  217,962;92,44261
 177,52;  244,648;  239,514;  246,761;70,84893
 178,12;  206,054;  215,296;  202,462; 0,00000
 178,72;  257,062;  245,993;  230,133; 0,00000
 179,32;  233,146;  238,143;  230,590; 0,00000
 179,92;  239,585;  227,290;  225,500; 0,00000
 180,52;  232,407;  228,348;  240,782;32,64537
 181,12;  236,278;  229,135;  222,210; 0,00000
 181,73;  251,491;  246,288;  253,616;71,00497
 182,33;  302,148;  281,894;  279,893; 0,00000
 182,93;  249,987;  243,668;  239,650; 0,00000
 183,53;  229,333;  228,380;  208,420; 0,00000
 184,13;  221,489;  227,147;  217,684; 0,00000
 184,73;  250,685;  234,536;  241,804;222,19434
 185,33;  251,127;  216,018;  337,431;28,91739
 185,93;  260,741;  224,261;  344,132;30,43331
 186,53;  260,246;  239,947;  365,457;16,17376
 187,13;  302,971;  275,626;  394,200;23,06184
 187,73;  262,385;  224,874;  355,880;28,63292
 188,33;  260,834;  220,035;  362,136;28,71123
 188,93;  263,649;  228,441;  360,299;26,70124
 189,53;  273,317;  238,534;  384,706;23,79611
 190,13;  310,716;  269,637;  395,224;32,70986
 190,73;  242,165;  212,850;  341,997;22,69866
 191,34;  284,729;  240,293;  374,932;33,00351
 191,94;  251,794;  218,042;  334,278;29,03756
 192,54;  265,332;  234,155;  388,909;20,14639
 193,14;  282,190;  239,858;  362,751;34,44589
 193,74;  267,584;  235,168;  374,226;23,31130
 194,34;  264,769;  232,394;  370,025;23,52317
 194,94;  233,913;  205,781;  334,332;21,88331
 195,54;  215,859;  187,094;  317,362;22,08084
 196,14;  240,248;  215,775;  347,666;18,55511
 196,74;  236,126;  192,713;  339,320;29,61182
 197,34;  230,361;  189,537;  345,597;26,15954
 197,94;  254,425;  216,395;  366,328;25,36499
 198,54;  250,775;  207,699;  380,234;24,96653
 199,14;  243,076;  205,763;  389,661;20,29009
