
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,313;  202,673;  202,814; 0,00000
 176,32;  224,209;  225,431;  219,229; 0,00000
 176,92;  260,020;  241,593;  259,926;100,51093
 177,52;  250,267;  251,671;  258,560;-20,37608
 178,12;  232,129;  228,123;  221,690; 0,00000
 178,72;  258,126;  262,428;  250,906; 0,00000
 179,32;  268,349;  256,969;  246,180; 0,00000
 179,92;  249,097;  244,743;  247,528;156,36044
 180,52;  237,146;  240,295;  251,040;-29,30099
 181,12;  257,294;  250,513;  250,351; 0,00000
 181,73;  283,482;  264,591;  277,112;150,87646
 182,33;  348,940;  344,982;  351,462;61,08438
 182,93;  263,982;  260,594;  266,980;53,05700
 183,53;  235,846;  240,272;  226,189; 0,00000
 184,13;  230,085;  234,428;  232,913; 0,00000
 184,73;  267,277;  272,348;  270,276; 0,00000
 185,33;  265,133;  227,895;  345,845;31,57082
 185,93;  274,856;  241,810;  363,162;27,23124
 186,53;  292,667;  245,969;  383,769;33,88860
 187,13;  321,009;  274,977;  418,310;32,11522
 187,73;  274,714;  236,042;  378,887;27,07244
 188,33;  272,463;  240,114;  373,931;24,17396
 188,93;  294,818;  258,330;  373,870;31,58015
 189,53;  294,285;  257,396;  374,368;31,53648
 190,13;  326,192;  277,224;  424,265;33,30261
 190,73;  267,289;  216,698;  365,464;34,00744
 191,34;  302,062;  258,249;  403,767;30,10790
 191,94;  267,782;  218,263;  371,997;32,21070
 192,54;  287,405;  243,523;  387,787;30,41785
 193,14;  303,184;  247,900;  396,592;37,18016
 193,74;  290,189;  257,129;  400,532;23,05400
 194,34;  282,021;  240,671;  386,728;28,31090
 194,94;  256,975;  220,361;  356,781;26,83924
 195,54;  239,270;  204,742;  327,334;28,16485
 196,14;  261,446;  227,827;  378,689;22,28492
 196,74;  256,048;  222,971;  359,044;24,30833
 197,34;  235,382;  197,063;  371,027;22,02693
 197,94;  269,476;  228,132;  384,373;26,46177
 198,54;  267,817;  235,596;  395,794;20,11341
 199,14;  257,715;  219,374;  388,308;22,69586
