
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,204;  202,673;  202,814; 0,00000
 176,32;  227,806;  225,431;  219,229; 0,00000
 176,92;  242,330;  241,593;  259,926; 4,01941
 177,52;  246,627;  251,671;  258,560;-73,22357
 178,12;  238,693;  228,123;  221,690; 0,00000
 178,72;  251,694;  262,428;  250,906; 0,00000
 179,32;  246,796;  256,969;  246,180; 0,00000
 179,92;  254,367;  244,743;  247,528;345,59268
 180,52;  244,973;  240,295;  251,040;43,53901
 181,12;  248,658;  250,513;  250,351; 0,00000
 181,73;  263,002;  264,591;  277,112;-12,68817
 182,33;  329,207;  344,982;  351,462;-243,44647
 182,93;  264,430;  260,594;  266,980;60,07840
 183,53;  232,081;  240,272;  226,189; 0,00000
 184,13;  237,739;  234,428;  232,913; 0,00000
 184,73;  268,773;  272,348;  270,276; 0,00000
 185,33;  264,017;  227,895;  345,845;30,62487
 185,93;  255,045;  241,810;  363,162;10,90632
 186,53;  282,683;  245,969;  383,769;26,64333
 187,13;  311,442;  274,977;  418,310;25,44020
 187,73;  275,740;  236,042;  378,887;27,79084
 188,33;  278,598;  240,114;  373,931;28,75825
 188,93;  279,586;  258,330;  373,870;18,39660
 189,53;  280,350;  257,396;  374,368;19,62360
 190,13;  318,694;  277,224;  424,265;28,20315
 190,73;  258,251;  216,698;  365,464;27,93154
 191,34;  287,606;  258,249;  403,767;20,17414
 191,94;  267,283;  218,263;  371,997;31,88577
 192,54;  290,349;  243,523;  387,787;32,45898
 193,14;  289,832;  247,900;  396,592;28,20108
 193,74;  288,646;  257,129;  400,532;21,97812
 194,34;  283,598;  240,671;  386,728;29,39062
 194,94;  251,482;  220,361;  356,781;22,81261
 195,54;  223,586;  204,742;  327,334;15,37119
 196,14;  249,880;  227,827;  378,689;14,61845
 196,74;  241,128;  222,971;  359,044;13,34377
 197,34;  227,489;  197,063;  371,027;17,48953
 197,94;  256,352;  228,132;  384,373;18,06206
 198,54;  266,716;  235,596;  395,794;19,42595
 199,14;  238,367;  219,374;  388,308;11,24329
