
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  193,024;  178,742;  189,684;130,52826
 176,32;  212,800;  214,758;  203,868; 0,00000
 176,92;  233,629;  216,593;  217,962;1244,53284
 177,52;  237,287;  239,514;  246,761;-30,72403
 178,12;  222,627;  215,296;  202,462; 0,00000
 178,72;  244,276;  245,993;  230,133; 0,00000
 179,32;  250,018;  238,143;  230,590; 0,00000
 179,92;  230,144;  227,290;  225,500; 0,00000
 180,52;  229,178;  228,348;  240,782; 6,66970
 181,12;  239,235;  229,135;  222,210; 0,00000
 181,73;  251,002;  246,288;  253,616;64,33177
 182,33;  303,686;  281,894;  279,893; 0,00000
 182,93;  249,008;  243,668;  239,650; 0,00000
 183,53;  235,905;  228,380;  208,420; 0,00000
 184,13;  226,855;  227,147;  217,684; 0,00000
 184,73;  251,003;  234,536;  241,804;226,56633
 185,33;  259,907;  216,018;  337,431;36,14891
 185,93;  266,005;  224,261;  344,132;34,82433
 186,53;  280,196;  239,947;  365,457;32,06838
 187,13;  301,294;  275,626;  394,200;21,64682
 187,73;  253,821;  224,874;  355,880;22,09577
 188,33;  264,428;  220,035;  362,136;31,24026
 188,93;  275,392;  228,441;  360,299;35,60695
 189,53;  274,034;  238,534;  384,706;24,28663
 190,13;  302,987;  269,637;  395,224;26,55533
 190,73;  251,865;  212,850;  341,997;30,20990
 191,34;  274,096;  240,293;  374,932;25,10642
 191,94;  254,463;  218,042;  334,278;31,33371
 192,54;  284,144;  234,155;  388,909;32,30227
 193,14;  285,806;  239,858;  362,751;37,38862
 193,74;  271,560;  235,168;  374,226;26,17060
 194,34;  259,725;  232,394;  370,025;19,85837
 194,94;  232,834;  205,781;  334,332;21,04438
 195,54;  228,183;  187,094;  317,362;31,54198
 196,14;  237,235;  215,775;  347,666;16,27048
 196,74;  237,419;  192,713;  339,320;30,49368
 197,34;  228,743;  189,537;  345,597;25,12246
 197,94;  258,136;  216,395;  366,328;27,83984
 198,54;  263,530;  207,699;  380,234;32,35945
 199,14;  241,044;  205,763;  389,661;19,18511
