
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,365;  196,668;  197,919;135,65486
 176,32;  229,169;  224,824;  212,280; 0,00000
 176,92;  252,765;  241,130;  242,571;807,66854
 177,52;  262,922;  242,515;  254,327;172,75314
 178,12;  231,983;  234,286;  223,116; 0,00000
 178,72;  257,648;  259,440;  254,402; 0,00000
 179,32;  253,235;  246,671;  235,386; 0,00000
 179,92;  258,386;  234,900;  248,482;172,91224
 180,52;  241,265;  240,436;  237,089; 0,00000
 181,12;  258,914;  253,977;  245,596; 0,00000
 181,73;  281,345;  269,515;  273,796;276,34867
 182,33;  341,609;  335,668;  334,695; 0,00000
 182,93;  266,493;  254,130;  265,674;107,09359
 183,53;  236,096;  236,441;  221,261; 0,00000
 184,13;  233,769;  237,671;  221,796; 0,00000
 184,73;  267,851;  262,518;  271,534;59,15755
 185,33;  253,560;  229,840;  336,352;22,26904
 185,93;  267,820;  230,227;  351,774;30,92897
 186,53;  276,806;  244,918;  379,899;23,62374
 187,13;  297,414;  274,916;  403,937;17,43758
 187,73;  263,372;  235,688;  356,935;22,83230
 188,33;  268,111;  241,766;  349,541;24,44438
 188,93;  275,657;  249,615;  369,880;21,65348
 189,53;  284,780;  249,772;  385,703;25,75476
 190,13;  310,112;  275,006;  414,463;25,17268
 190,73;  255,397;  214,465;  357,542;28,60797
 191,34;  285,562;  255,616;  380,255;24,02578
 191,94;  272,289;  233,998;  358,715;30,70258
 192,54;  276,074;  238,761;  386,808;25,20358
 193,14;  287,028;  254,609;  383,084;25,23423
 193,74;  282,212;  248,378;  396,443;22,85099
 194,34;  282,043;  252,224;  387,868;21,98337
 194,94;  243,676;  212,609;  342,507;23,91694
 195,54;  232,824;  192,610;  327,986;29,70564
 196,14;  248,497;  222,454;  364,863;18,28715
 196,74;  236,886;  216,764;  341,279;16,16083
 197,34;  230,154;  194,760;  337,313;24,82861
 197,94;  253,096;  225,608;  364,072;19,85198
 198,54;  263,870;  230,300;  376,969;22,88826
 199,14;  244,138;  205,914;  371,989;23,01592
