
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,438;  199,561;  205,981;13,65793
 176,32;  230,795;  235,566;  226,141; 0,00000
 176,92;  255,831;  256,793;  255,813; 0,00000
 177,52;  261,358;  259,946;  263,188;43,54211
 178,12;  233,244;  238,412;  231,925; 0,00000
 178,72;  272,920;  277,567;  265,876; 0,00000
 179,32;  245,859;  248,258;  247,398; 0,00000
 179,92;  257,749;  263,410;  260,441; 0,00000
 180,52;  248,535;  241,943;  252,958;59,84605
 181,12;  260,161;  256,102;  255,139; 0,00000
 181,73;  284,405;  269,025;  280,473;134,34390
 182,33;  356,580;  357,330;  363,131;-12,91799
 182,93;  271,384;  273,870;  263,218; 0,00000
 183,53;  224,520;  240,414;  224,560; 0,00000
 184,13;  242,958;  247,721;  243,186; 0,00000
 184,73;  276,672;  280,184;  281,519;-263,10084
 185,33;  268,409;  230,521;  350,096;31,68513
 185,93;  278,373;  242,371;  350,276;33,36423
 186,53;  300,865;  251,907;  397,500;33,62674
 187,13;  312,107;  270,365;  410,432;29,80162
 187,73;  269,746;  247,678;  377,965;16,93783
 188,33;  279,971;  241,911;  379,925;27,57693
 188,93;  285,542;  245,994;  378,575;29,82945
 189,53;  294,541;  243,307;  393,291;34,15966
 190,13;  316,813;  293,238;  410,850;20,04472
 190,73;  263,431;  224,925;  368,258;26,86499
 191,34;  299,332;  256,765;  409,091;27,94444
 191,94;  274,542;  242,990;  369,356;24,96862
 192,54;  295,526;  246,055;  403,294;31,46239
 193,14;  312,222;  264,135;  400,530;35,25561
 193,74;  296,950;  263,366;  406,261;23,50277
 194,34;  283,788;  252,826;  381,121;24,13355
 194,94;  251,939;  228,135;  361,482;17,85150
 195,54;  230,460;  216,521;  347,753;10,62198
 196,14;  262,175;  223,979;  367,380;26,63577
 196,74;  264,048;  222,060;  358,085;30,86749
 197,34;  244,772;  203,207;  349,296;28,45142
 197,94;  273,492;  226,519;  376,887;31,23881
 198,54;  269,162;  242,748;  396,253;17,20723
 199,14;  252,583;  211,898;  391,913;22,60074
