
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  192,421;  206,190;  205,981; 0,00000
 176,32;  222,769;  237,033;  226,141; 0,00000
 176,92;  258,243;  264,266;  255,813; 0,00000
 177,52;  261,489;  252,651;  263,188;83,87655
 178,12;  230,021;  240,649;  231,925; 0,00000
 178,72;  266,539;  263,186;  265,876;124,67174
 179,32;  249,984;  268,879;  247,398; 0,00000
 179,92;  264,741;  256,342;  260,441;204,89051
 180,52;  248,273;  235,653;  252,958;72,92634
 181,12;  253,135;  256,034;  255,139; 0,00000
 181,73;  276,223;  283,958;  280,473; 0,00000
 182,33;  364,649;  367,036;  363,131; 0,00000
 182,93;  269,195;  266,420;  263,218; 0,00000
 183,53;  248,089;  238,263;  224,560; 0,00000
 184,13;  239,569;  248,340;  243,186; 0,00000
 184,73;  278,442;  285,339;  281,519; 0,00000
 185,33;  255,971;  242,398;  350,096;12,60228
 185,93;  271,633;  237,627;  350,276;30,18750
 186,53;  293,067;  255,321;  397,500;26,54824
 187,13;  309,273;  279,246;  410,432;22,88900
 187,73;  270,938;  239,166;  377,965;22,89088
 188,33;  282,134;  242,780;  379,925;28,69487
 188,93;  288,308;  258,468;  378,575;24,84454
 189,53;  280,014;  263,927;  393,291;12,43540
 190,13;  324,472;  291,461;  410,850;27,65022
 190,73;  260,395;  227,849;  368,258;23,17986
 191,34;  292,938;  264,544;  409,091;19,64335
 191,94;  268,263;  238,625;  369,356;22,67149
 192,54;  291,715;  253,940;  403,294;25,29253
 193,14;  287,864;  260,938;  400,530;19,28890
 193,74;  282,862;  266,476;  406,261;11,72205
 194,34;  288,117;  258,862;  381,121;23,92877
 194,94;  244,800;  222,707;  361,482;15,92012
 195,54;  224,591;  187,860;  347,753;22,97202
 196,14;  262,877;  236,554;  367,380;20,11993
 196,74;  245,876;  226,629;  358,085;14,64163
 197,34;  231,799;  200,710;  349,296;20,92314
 197,94;  262,983;  238,015;  376,887;17,97927
 198,54;  275,938;  247,708;  396,253;19,00392
 199,14;  253,370;  215,172;  391,913;21,61262
