
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,409;  206,190;  205,981; 0,00000
 176,32;  234,805;  237,033;  226,141; 0,00000
 176,92;  268,743;  264,266;  255,813; 0,00000
 177,52;  264,909;  252,651;  263,188;116,32863
 178,12;  231,339;  240,649;  231,925; 0,00000
 178,72;  263,346;  263,186;  265,876; 5,95591
 179,32;  257,561;  268,879;  247,398; 0,00000
 179,92;  252,294;  256,342;  260,441;-98,73955
 180,52;  243,761;  235,653;  252,958;46,85099
 181,12;  259,949;  256,034;  255,139; 0,00000
 181,73;  279,826;  283,958;  280,473; 0,00000
 182,33;  352,032;  367,036;  363,131; 0,00000
 182,93;  275,855;  266,420;  263,218; 0,00000
 183,53;  232,841;  238,263;  224,560; 0,00000
 184,13;  245,614;  248,340;  243,186; 0,00000
 184,73;  271,585;  285,339;  281,519; 0,00000
 185,33;  265,357;  242,398;  350,096;21,31803
 185,93;  274,492;  237,627;  350,276;32,72577
 186,53;  281,520;  255,321;  397,500;18,42684
 187,13;  303,524;  279,246;  410,432;18,50693
 187,73;  263,731;  239,166;  377,965;17,69834
 188,33;  275,803;  242,780;  379,925;24,07915
 188,93;  291,130;  258,468;  378,575;27,19406
 189,53;  288,711;  263,927;  393,291;19,15867
 190,13;  314,603;  291,461;  410,850;19,38381
 190,73;  254,043;  227,849;  368,258;18,65586
 191,34;  290,849;  264,544;  409,091;18,19835
 191,94;  276,677;  238,625;  369,356;29,10728
 192,54;  288,898;  253,940;  403,294;23,40621
 193,14;  301,240;  260,938;  400,530;28,87147
 193,74;  286,789;  266,476;  406,261;14,53173
 194,34;  293,532;  258,862;  381,121;28,35837
 194,94;  260,032;  222,707;  361,482;26,89601
 195,54;  232,262;  187,860;  347,753;27,76985
 196,14;  258,413;  236,554;  367,380;16,70792
 196,74;  250,893;  226,629;  358,085;18,45803
 197,34;  243,946;  200,710;  349,296;29,09833
 197,94;  263,452;  238,015;  376,887;18,31652
 198,54;  268,707;  247,708;  396,253;14,13621
 199,14;  246,653;  215,172;  391,913;17,81202
