
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  197,009;  196,668;  197,919;27,26556
 176,32;  225,134;  224,824;  212,280; 0,00000
 176,92;  251,182;  241,130;  242,571;697,77751
 177,52;  245,766;  242,515;  254,327;27,52331
 178,12;  224,139;  234,286;  223,116; 0,00000
 178,72;  255,765;  259,440;  254,402; 0,00000
 179,32;  234,042;  246,671;  235,386; 0,00000
 179,92;  253,726;  234,900;  248,482;138,60411
 180,52;  238,502;  240,436;  237,089; 0,00000
 181,12;  245,092;  253,977;  245,596; 0,00000
 181,73;  266,608;  269,515;  273,796;-67,91956
 182,33;  335,736;  335,668;  334,695; 0,00000
 182,93;  268,939;  254,130;  265,674;128,28150
 183,53;  233,219;  236,441;  221,261; 0,00000
 184,13;  242,260;  237,671;  221,796; 0,00000
 184,73;  260,083;  262,518;  271,534;-27,01083
 185,33;  256,890;  229,840;  336,352;25,39618
 185,93;  253,832;  230,227;  351,774;19,42031
 186,53;  279,655;  244,918;  379,899;25,73436
 187,13;  300,483;  274,916;  403,937;19,81622
 187,73;  265,174;  235,688;  356,935;24,31931
 188,33;  265,678;  241,766;  349,541;22,18718
 188,93;  262,198;  249,615;  369,880;10,46216
 189,53;  265,669;  249,772;  385,703;11,69498
 190,13;  298,746;  275,006;  414,463;17,02299
 190,73;  254,556;  214,465;  357,542;28,02002
 191,34;  280,510;  255,616;  380,255;19,97233
 191,94;  258,129;  233,998;  358,715;19,34838
 192,54;  281,549;  238,761;  386,808;28,90202
 193,14;  290,872;  254,609;  383,084;28,22576
 193,74;  284,615;  248,378;  396,443;24,47354
 194,34;  280,749;  252,224;  387,868;21,02977
 194,94;  249,814;  212,609;  342,507;28,64170
 195,54;  222,650;  192,610;  327,986;22,19065
 196,14;  239,444;  222,454;  364,863;11,93042
 196,74;  233,850;  216,764;  341,279;13,72203
 197,34;  226,720;  194,760;  337,313;22,41962
 197,94;  252,186;  225,608;  364,072;19,19437
 198,54;  254,968;  230,300;  376,969;16,81872
 199,14;  248,575;  205,914;  371,989;25,68793
