
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  206,217;  196,668;  197,919;763,34849
 176,32;  220,816;  224,824;  212,280; 0,00000
 176,92;  243,850;  241,130;  242,571;188,81393
 177,52;  250,206;  242,515;  254,327;65,11342
 178,12;  223,082;  234,286;  223,116; 0,00000
 178,72;  259,047;  259,440;  254,402; 0,00000
 179,32;  251,421;  246,671;  235,386; 0,00000
 179,92;  244,319;  234,900;  248,482;69,34867
 180,52;  232,830;  240,436;  237,089; 0,00000
 181,12;  251,907;  253,977;  245,596; 0,00000
 181,73;  267,546;  269,515;  273,796;-45,99599
 182,33;  340,512;  335,668;  334,695; 0,00000
 182,93;  258,166;  254,130;  265,674;34,95901
 183,53;  228,533;  236,441;  221,261; 0,00000
 184,13;  232,786;  237,671;  221,796; 0,00000
 184,73;  269,167;  262,518;  271,534;73,74497
 185,33;  265,671;  229,840;  336,352;33,64042
 185,93;  266,576;  230,227;  351,774;29,90531
 186,53;  277,233;  244,918;  379,899;23,94054
 187,13;  304,492;  274,916;  403,937;22,92291
 187,73;  267,948;  235,688;  356,935;26,60663
 188,33;  263,327;  241,766;  349,541;20,00516
 188,93;  288,660;  249,615;  369,880;32,46540
 189,53;  286,571;  249,772;  385,703;27,07173
 190,13;  320,845;  275,006;  414,463;32,86910
 190,73;  252,624;  214,465;  357,542;26,66993
 191,34;  295,966;  255,616;  380,255;32,37350
 191,94;  273,921;  233,998;  358,715;32,01132
 192,54;  285,391;  238,761;  386,808;31,49663
 193,14;  293,355;  254,609;  383,084;30,15862
 193,74;  272,574;  248,378;  396,443;16,34108
 194,34;  291,402;  252,224;  387,868;28,88324
 194,94;  252,468;  212,609;  342,507;30,68507
 195,54;  210,773;  192,610;  327,986;13,41712
 196,14;  249,660;  222,454;  364,863;19,10375
 196,74;  246,880;  216,764;  341,279;24,18672
 197,34;  232,505;  194,760;  337,313;26,47727
 197,94;  263,630;  225,608;  364,072;27,45940
 198,54;  270,111;  230,300;  376,969;27,14323
 199,14;  239,268;  205,914;  371,989;20,08351
