
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,961;  201,512;  199,491; 0,00000
 176,32;  227,616;  221,199;  212,550; 0,00000
 176,92;  253,670;  245,280;  254,322;92,79163
 177,52;  259,793;  253,358;  260,409;91,26442
 178,12;  234,622;  244,892;  224,959; 0,00000
 178,72;  256,476;  273,506;  247,387; 0,00000
 179,32;  243,217;  241,430;  241,198; 0,00000
 179,92;  238,904;  248,894;  247,263; 0,00000
 180,52;  247,304;  242,285;  245,788;143,29355
 181,12;  241,040;  251,894;  257,379;-197,89711
 181,73;  270,941;  276,202;  268,023; 0,00000
 182,33;  330,766;  346,590;  343,466; 0,00000
 182,93;  267,351;  263,511;  256,848; 0,00000
 183,53;  229,391;  233,505;  227,330; 0,00000
 184,13;  223,818;  241,198;  224,331; 0,00000
 184,73;  267,023;  273,581;  270,199; 0,00000
 185,33;  246,556;  236,856;  347,928; 8,73267
 185,93;  261,722;  232,929;  360,275;22,61034
 186,53;  284,087;  250,008;  370,527;28,27664
 187,13;  293,306;  277,782;  403,811;12,31795
 187,73;  265,681;  233,468;  361,558;25,14896
 188,33;  253,413;  241,389;  359,975;10,13935
 188,93;  273,692;  240,843;  369,692;25,49387
 189,53;  270,233;  248,838;  386,335;15,55997
 190,13;  309,606;  270,522;  407,653;28,50130
 190,73;  245,962;  222,989;  363,567;16,34144
 191,34;  293,847;  265,457;  381,617;24,44066
 191,94;  257,860;  232,310;  364,763;19,29000
 192,54;  276,838;  254,631;  391,145;16,26718
 193,14;  284,463;  253,166;  376,882;25,29749
 193,74;  280,513;  257,781;  375,464;19,31646
 194,34;  269,957;  252,859;  382,171;13,22232
 194,94;  242,790;  218,320;  347,243;18,98013
 195,54;  220,547;  204,241;  322,294;13,81239
 196,14;  256,961;  228,937;  355,834;22,08408
 196,74;  247,360;  218,625;  346,543;22,46409
 197,34;  220,779;  200,093;  344,774;14,29750
 197,94;  254,393;  232,320;  381,923;14,75421
 198,54;  258,946;  224,552;  375,559;22,77660
 199,14;  244,174;  204,018;  389,324;21,67040
