
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  185,536;  201,512;  199,491; 0,00000
 176,32;  222,788;  221,199;  212,550; 0,00000
 176,92;  255,613;  245,280;  254,322;114,27550
 177,52;  250,869;  253,358;  260,409;-35,29167
 178,12;  235,816;  244,892;  224,959; 0,00000
 178,72;  253,911;  273,506;  247,387; 0,00000
 179,32;  245,933;  241,430;  241,198; 0,00000
 179,92;  253,680;  248,894;  247,263; 0,00000
 180,52;  249,895;  242,285;  245,788;217,24183
 181,12;  252,409;  251,894;  257,379; 9,38918
 181,73;  275,800;  276,202;  268,023; 0,00000
 182,33;  344,658;  346,590;  343,466; 0,00000
 182,93;  265,292;  263,511;  256,848; 0,00000
 183,53;  245,810;  233,505;  227,330; 0,00000
 184,13;  234,036;  241,198;  224,331; 0,00000
 184,73;  280,006;  273,581;  270,199; 0,00000
 185,33;  257,090;  236,856;  347,928;18,21668
 185,93;  249,439;  232,929;  360,275;12,96446
 186,53;  274,946;  250,008;  370,527;20,69234
 187,13;  301,365;  277,782;  403,811;18,71238
 187,73;  269,330;  233,468;  361,558;27,99738
 188,33;  257,015;  241,389;  359,975;13,17706
 188,93;  273,978;  240,843;  369,692;25,71562
 189,53;  270,614;  248,838;  386,335;15,83702
 190,13;  314,499;  270,522;  407,653;32,06965
 190,73;  257,302;  222,989;  363,567;24,40856
 191,34;  292,662;  265,457;  381,617;23,42047
 191,94;  259,923;  232,310;  364,763;20,84718
 192,54;  275,693;  254,631;  391,145;15,42877
 193,14;  288,319;  253,166;  376,882;28,41433
 193,74;  284,640;  257,781;  375,464;22,82388
 194,34;  278,025;  252,859;  382,171;19,46144
 194,94;  250,127;  218,320;  347,243;24,67151
 195,54;  220,416;  204,241;  322,294;13,70123
 196,14;  250,558;  228,937;  355,834;17,03864
 196,74;  245,786;  218,625;  346,543;21,23369
 197,34;  228,390;  200,093;  344,774;19,55793
 197,94;  247,960;  232,320;  381,923;10,45440
 198,54;  253,472;  224,552;  375,559;19,15131
 199,14;  243,026;  204,018;  389,324;21,05076
