
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,392;  201,512;  199,491; 0,00000
 176,32;  223,799;  221,199;  212,550; 0,00000
 176,92;  240,836;  245,280;  254,322;-49,14734
 177,52;  252,975;  253,358;  260,409;-5,42460
 178,12;  227,762;  244,892;  224,959; 0,00000
 178,72;  256,927;  273,506;  247,387; 0,00000
 179,32;  248,097;  241,430;  241,198; 0,00000
 179,92;  261,346;  248,894;  247,263; 0,00000
 180,52;  245,141;  242,285;  245,788;81,54555
 181,12;  252,712;  251,894;  257,379;14,90762
 181,73;  279,437;  276,202;  268,023; 0,00000
 182,33;  346,698;  346,590;  343,466; 0,00000
 182,93;  267,471;  263,511;  256,848; 0,00000
 183,53;  248,626;  233,505;  227,330; 0,00000
 184,13;  244,895;  241,198;  224,331; 0,00000
 184,73;  276,938;  273,581;  270,199; 0,00000
 185,33;  246,934;  236,856;  347,928; 9,07291
 185,93;  259,757;  232,929;  360,275;21,06684
 186,53;  276,612;  250,008;  370,527;22,07409
 187,13;  309,188;  277,782;  403,811;24,91998
 187,73;  264,525;  233,468;  361,558;24,24601
 188,33;  274,089;  241,389;  359,975;27,57519
 188,93;  284,355;  240,843;  369,692;33,76914
 189,53;  282,770;  248,838;  386,335;24,67810
 190,13;  321,171;  270,522;  407,653;36,93533
 190,73;  258,458;  222,989;  363,567;25,23051
 191,34;  298,927;  265,457;  381,617;28,81353
 191,94;  269,097;  232,310;  364,763;27,77391
 192,54;  279,075;  254,631;  391,145;17,90593
 193,14;  283,889;  253,166;  376,882;24,83386
 193,74;  285,939;  257,781;  375,464;23,92712
 194,34;  277,879;  252,859;  382,171;19,34861
 194,94;  254,155;  218,320;  347,243;27,79560
 195,54;  219,655;  204,241;  322,294;13,05663
 196,14;  248,233;  228,937;  355,834;15,20578
 196,74;  248,742;  218,625;  346,543;23,54401
 197,34;  225,054;  200,093;  344,774;17,25238
 197,94;  248,636;  232,320;  381,923;10,90619
 198,54;  259,453;  224,552;  375,559;23,11193
 199,14;  243,924;  204,018;  389,324;21,53513
