
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,098;  201,512;  199,491; 0,00000
 176,32;  231,009;  221,199;  212,550; 0,00000
 176,92;  249,815;  245,280;  254,322;50,15740
 177,52;  255,276;  253,358;  260,409;27,19914
 178,12;  226,053;  244,892;  224,959; 0,00000
 178,72;  256,726;  273,506;  247,387; 0,00000
 179,32;  251,768;  241,430;  241,198; 0,00000
 179,92;  247,522;  248,894;  247,263; 0,00000
 180,52;  247,136;  242,285;  245,788;138,49327
 181,12;  269,433;  251,894;  257,379;319,78489
 181,73;  270,399;  276,202;  268,023; 0,00000
 182,33;  351,185;  346,590;  343,466; 0,00000
 182,93;  268,770;  263,511;  256,848; 0,00000
 183,53;  240,332;  233,505;  227,330; 0,00000
 184,13;  233,155;  241,198;  224,331; 0,00000
 184,73;  276,938;  273,581;  270,199; 0,00000
 185,33;  248,284;  236,856;  347,928;10,28896
 185,93;  257,182;  232,929;  360,275;19,04486
 186,53;  279,233;  250,008;  370,527;24,24916
 187,13;  293,357;  277,782;  403,811;12,35824
 187,73;  267,653;  233,468;  361,558;26,68851
 188,33;  264,328;  241,389;  359,975;19,34359
 188,93;  274,374;  240,843;  369,692;26,02332
 189,53;  267,450;  248,838;  386,335;13,53641
 190,13;  312,676;  270,522;  407,653;30,73997
 190,73;  238,313;  222,989;  363,567;10,90039
 191,34;  290,136;  265,457;  381,617;21,24598
 191,94;  259,365;  232,310;  364,763;20,42640
 192,54;  277,230;  254,631;  391,145;16,55430
 193,14;  285,434;  253,166;  376,882;26,08272
 193,74;  274,084;  257,781;  375,464;13,85380
 194,34;  278,597;  252,859;  382,171;19,90398
 194,94;  240,775;  218,320;  347,243;17,41769
 195,54;  223,548;  204,241;  322,294;16,35432
 196,14;  251,892;  228,937;  355,834;18,08982
 196,74;  238,154;  218,625;  346,543;15,26700
 197,34;  223,382;  200,093;  344,774;16,09645
 197,94;  255,653;  232,320;  381,923;15,59662
 198,54;  267,805;  224,552;  375,559;28,64262
 199,14;  235,819;  204,018;  389,324;17,16126
