
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,425;  201,512;  199,491; 0,00000
 176,32;  218,754;  221,199;  212,550; 0,00000
 176,92;  243,785;  245,280;  254,322;-16,53749
 177,52;  262,469;  253,358;  260,409;129,20435
 178,12;  234,629;  244,892;  224,959; 0,00000
 178,72;  262,216;  273,506;  247,387; 0,00000
 179,32;  251,185;  241,430;  241,198; 0,00000
 179,92;  245,883;  248,894;  247,263; 0,00000
 180,52;  242,421;  242,285;  245,788; 3,88982
 181,12;  260,647;  251,894;  257,379;159,59155
 181,73;  273,334;  276,202;  268,023; 0,00000
 182,33;  347,311;  346,590;  343,466; 0,00000
 182,93;  267,347;  263,511;  256,848; 0,00000
 183,53;  234,980;  233,505;  227,330; 0,00000
 184,13;  224,509;  241,198;  224,331; 0,00000
 184,73;  281,496;  273,581;  270,199; 0,00000
 185,33;  265,289;  236,856;  347,928;25,59876
 185,93;  271,307;  232,929;  360,275;30,13646
 186,53;  285,742;  250,008;  370,527;29,65046
 187,13;  307,214;  277,782;  403,811;23,35325
 187,73;  269,192;  233,468;  361,558;27,88979
 188,33;  278,711;  241,389;  359,975;31,47249
 188,93;  287,166;  240,843;  369,692;35,95132
 189,53;  288,278;  248,838;  386,335;28,68417
 190,13;  340,016;  270,522;  407,653;50,67706
 190,73;  266,281;  222,989;  363,567;30,79582
 191,34;  295,545;  265,457;  381,617;25,90215
 191,94;  277,340;  232,310;  364,763;33,99680
 192,54;  294,606;  254,631;  391,145;29,28287
 193,14;  293,880;  253,166;  376,882;32,90941
 193,74;  294,074;  257,781;  375,464;30,83977
 194,34;  276,638;  252,859;  382,171;18,38845
 194,94;  247,758;  218,320;  347,243;22,83388
 195,54;  232,748;  204,241;  322,294;24,14806
 196,14;  253,180;  228,937;  355,834;19,10475
 196,74;  242,837;  218,625;  346,543;18,92803
 197,34;  226,949;  200,093;  344,774;18,56157
 197,94;  257,243;  232,320;  381,923;16,65932
 198,54;  260,611;  224,552;  375,559;23,87910
 199,14;  249,854;  204,018;  389,324;24,73539
