
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  193,047;  174,489;  192,611;102,40460
 176,32;  215,056;  216,954;  206,004; 0,00000
 176,92;  223,835;  227,336;  227,261; 0,00000
 177,52;  248,095;  236,335;  235,683; 0,00000
 178,12;  213,926;  220,954;  203,245; 0,00000
 178,72;  243,954;  243,647;  227,554; 0,00000
 179,32;  236,655;  228,415;  222,500; 0,00000
 179,92;  236,454;  226,337;  222,715; 0,00000
 180,52;  225,956;  219,718;  231,385;53,46499
 181,12;  230,239;  234,260;  233,418; 0,00000
 181,73;  247,798;  246,798;  252,565;17,34782
 182,33;  290,671;  277,181;  282,930;234,63375
 182,93;  249,107;  244,643;  253,666;49,47366
 183,53;  227,872;  222,186;  222,712; 0,00000
 184,13;  225,597;  236,493;  213,579; 0,00000
 184,73;  241,519;  238,725;  235,017; 0,00000
 185,33;  238,568;  221,668;  325,602;16,25967
 185,93;  248,537;  216,979;  344,011;24,84265
 186,53;  258,089;  232,900;  357,644;20,19203
 187,13;  292,379;  267,513;  390,382;20,23768
 187,73;  251,161;  218,517;  343,330;26,15427
 188,33;  243,390;  228,518;  355,755;11,68829
 188,93;  255,041;  235,369;  359,919;15,79487
 189,53;  262,333;  233,834;  370,732;20,81821
 190,13;  285,619;  266,224;  382,699;16,65189
 190,73;  236,660;  214,297;  332,864;18,86068
 191,34;  270,477;  249,524;  362,303;18,57916
 191,94;  255,935;  221,827;  342,026;28,37602
 192,54;  263,114;  233,588;  376,098;20,71841
 193,14;  265,577;  246,283;  376,791;14,78414
 193,74;  263,330;  241,129;  360,274;18,63310
 194,34;  255,234;  231,820;  355,470;18,93502
 194,94;  225,666;  199,667;  330,696;19,84206
 195,54;  207,499;  204,207;  308,876; 3,14531
 196,14;  233,319;  214,358;  343,987;14,62701
 196,74;  230,227;  201,361;  332,889;21,94662
 197,34;  202,446;  178,664;  336,888;15,03059
 197,94;  237,476;  217,744;  354,408;14,43856
 198,54;  237,072;  219,435;  354,791;13,03010
 199,14;  229,969;  206,279;  367,793;14,66794
