
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,442;  201,512;  199,491; 0,00000
 176,32;  229,489;  221,199;  212,550; 0,00000
 176,92;  272,816;  245,280;  254,322;304,52723
 177,52;  265,150;  253,358;  260,409;167,22939
 178,12;  216,719;  244,892;  224,959; 0,00000
 178,72;  261,848;  273,506;  247,387; 0,00000
 179,32;  258,013;  241,430;  241,198; 0,00000
 179,92;  255,253;  248,894;  247,263; 0,00000
 180,52;  247,701;  242,285;  245,788;154,60988
 181,12;  251,378;  251,894;  257,379;-9,40031
 181,73;  279,573;  276,202;  268,023; 0,00000
 182,33;  346,846;  346,590;  343,466; 0,00000
 182,93;  273,094;  263,511;  256,848; 0,00000
 183,53;  240,864;  233,505;  227,330; 0,00000
 184,13;  243,422;  241,198;  224,331; 0,00000
 184,73;  275,516;  273,581;  270,199; 0,00000
 185,33;  265,294;  236,856;  347,928;25,60301
 185,93;  268,883;  232,929;  360,275;28,23343
 186,53;  288,340;  250,008;  370,527;31,80580
 187,13;  302,128;  277,782;  403,811;19,31777
 187,73;  277,595;  233,468;  361,558;34,45011
 188,33;  281,544;  241,389;  359,975;33,86153
 188,93;  279,798;  240,843;  369,692;30,23245
 189,53;  276,033;  248,838;  386,335;19,77874
 190,13;  316,277;  270,522;  407,653;33,36587
 190,73;  262,459;  222,989;  363,567;28,07686
 191,34;  293,935;  265,457;  381,617;24,51621
 191,94;  263,906;  232,310;  364,763;23,85456
 192,54;  285,568;  254,631;  391,145;22,66244
 193,14;  284,758;  253,166;  376,882;25,53601
 193,74;  282,291;  257,781;  375,464;20,82760
 194,34;  282,148;  252,859;  382,171;22,64935
 194,94;  250,933;  218,320;  347,243;25,29663
 195,54;  224,203;  204,241;  322,294;16,90908
 196,14;  247,894;  228,937;  355,834;14,93870
 196,74;  245,044;  218,625;  346,543;20,65325
 197,34;  223,021;  200,093;  344,774;15,84681
 197,94;  253,211;  232,320;  381,923;13,96444
 198,54;  273,957;  224,552;  375,559;32,71675
 199,14;  248,605;  204,018;  389,324;24,06133
