
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,824;  201,512;  199,491; 0,00000
 176,32;  228,242;  221,199;  212,550; 0,00000
 176,92;  248,952;  245,280;  254,322;40,60838
 177,52;  268,188;  253,358;  260,409;210,30284
 178,12;  242,879;  244,892;  224,959; 0,00000
 178,72;  264,865;  273,506;  247,387; 0,00000
 179,32;  248,387;  241,430;  241,198; 0,00000
 179,92;  250,456;  248,894;  247,263; 0,00000
 180,52;  244,942;  242,285;  245,788;75,85713
 181,12;  257,634;  251,894;  257,379;104,65894
 181,73;  278,088;  276,202;  268,023; 0,00000
 182,33;  354,544;  346,590;  343,466; 0,00000
 182,93;  263,690;  263,511;  256,848; 0,00000
 183,53;  242,020;  233,505;  227,330; 0,00000
 184,13;  235,069;  241,198;  224,331; 0,00000
 184,73;  277,852;  273,581;  270,199; 0,00000
 185,33;  257,595;  236,856;  347,928;18,67180
 185,93;  271,909;  232,929;  360,275;30,60945
 186,53;  277,738;  250,008;  370,527;23,00856
 187,13;  310,644;  277,782;  403,811;26,07511
 187,73;  262,399;  233,468;  361,558;22,58619
 188,33;  270,457;  241,389;  359,975;24,51233
 188,93;  282,477;  240,843;  369,692;32,31236
 189,53;  280,890;  248,838;  386,335;23,31118
 190,13;  315,423;  270,522;  407,653;32,74357
 190,73;  257,432;  222,989;  363,567;24,50099
 191,34;  287,684;  265,457;  381,617;19,13526
 191,94;  270,435;  232,310;  364,763;28,78412
 192,54;  271,340;  254,631;  391,145;12,23968
 193,14;  289,610;  253,166;  376,882;29,45808
 193,74;  289,954;  257,781;  375,464;27,33914
 194,34;  272,211;  252,859;  382,171;14,96503
 194,94;  244,113;  218,320;  347,243;20,00664
 195,54;  232,915;  204,241;  322,294;24,28951
 196,14;  251,563;  228,937;  355,834;17,82997
 196,74;  252,853;  218,625;  346,543;26,75829
 197,34;  215,931;  200,093;  344,774;10,94680
 197,94;  257,621;  232,320;  381,923;16,91176
 198,54;  255,169;  224,552;  375,559;20,27514
 199,14;  235,140;  204,018;  389,324;16,79488
