
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,511;  174,489;  192,611;115,99800
 176,32;  219,834;  216,954;  206,004; 0,00000
 176,92;  243,438;  227,336;  227,261; 0,00000
 177,52;  249,184;  236,335;  235,683; 0,00000
 178,12;  219,486;  220,954;  203,245; 0,00000
 178,72;  242,440;  243,647;  227,554; 0,00000
 179,32;  229,824;  228,415;  222,500; 0,00000
 179,92;  243,047;  226,337;  222,715; 0,00000
 180,52;  233,377;  219,718;  231,385;117,07168
 181,12;  247,792;  234,260;  233,418; 0,00000
 181,73;  259,358;  246,798;  252,565;217,78055
 182,33;  308,348;  277,181;  282,930;542,09517
 182,93;  257,681;  244,643;  253,666;144,49840
 183,53;  242,919;  222,186;  222,712; 0,00000
 184,13;  228,870;  236,493;  213,579; 0,00000
 184,73;  257,470;  238,725;  235,017; 0,00000
 185,33;  250,103;  221,668;  325,602;27,35867
 185,93;  254,976;  216,979;  344,011;29,91178
 186,53;  278,497;  232,900;  357,644;36,55181
 187,13;  299,404;  267,513;  390,382;25,95537
 187,73;  247,737;  218,517;  343,330;23,41140
 188,33;  265,483;  228,518;  355,755;29,05208
 188,93;  277,376;  235,369;  359,919;33,72695
 189,53;  284,628;  233,834;  370,732;37,10394
 190,13;  303,371;  266,224;  382,699;31,89272
 190,73;  259,505;  214,297;  332,864;38,12897
 191,34;  289,820;  249,524;  362,303;35,72998
 191,94;  268,136;  221,827;  342,026;38,52686
 192,54;  275,328;  233,588;  376,098;29,28946
 193,14;  281,034;  246,283;  376,791;26,62746
 193,74;  276,554;  241,129;  360,274;29,73243
 194,34;  267,473;  231,820;  355,470;28,83340
 194,94;  236,454;  199,667;  330,696;28,07512
 195,54;  236,514;  204,207;  308,876;30,86613
 196,14;  247,584;  214,358;  343,987;25,63127
 196,74;  234,075;  201,361;  332,889;24,87204
 197,34;  222,065;  178,664;  336,888;27,42990
 197,94;  250,005;  217,744;  354,408;23,60586
 198,54;  254,574;  219,435;  354,791;25,96003
 199,14;  241,762;  206,279;  367,793;21,96947
