
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  217,046;  211,495;  220,903;59,00212
 176,32;  254,472;  239,266;  234,681; 0,00000
 176,92;  289,472;  272,880;  278,464;297,13950
 177,52;  272,926;  261,034;  277,765;71,07917
 178,12;  253,667;  246,728;  239,441; 0,00000
 178,72;  282,124;  280,728;  259,868; 0,00000
 179,32;  261,461;  264,958;  256,710; 0,00000
 179,92;  260,195;  263,342;  268,977;-55,85386
 180,52;  260,288;  259,879;  273,789; 2,93902
 181,12;  289,411;  277,881;  256,017; 0,00000
 181,73;  296,603;  280,188;  289,375;178,68831
 182,33;  414,128;  394,264;  386,146; 0,00000
 182,93;  298,268;  288,188;  294,880;150,62394
 183,53;  248,046;  249,497;  239,413; 0,00000
 184,13;  250,938;  254,420;  244,570; 0,00000
 184,73;  316,735;  298,267;  300,295;910,44072
 185,33;  268,542;  255,507;  366,926;11,69958
 185,93;  286,323;  249,508;  376,315;29,03288
 186,53;  306,277;  254,199;  407,611;33,94657
 187,13;  322,207;  292,198;  434,377;21,10632
 187,73;  284,713;  255,584;  389,711;21,71698
 188,33;  296,100;  254,739;  382,838;32,28866
 188,93;  302,137;  262,972;  407,196;27,15568
 189,53;  297,033;  261,127;  411,282;23,91289
 190,13;  334,803;  301,206;  452,201;22,25057
 190,73;  264,845;  234,974;  381,637;20,36750
 191,34;  309,841;  263,511;  421,861;29,25817
 191,94;  282,545;  251,278;  383,915;23,57308
 192,54;  308,742;  269,043;  407,504;28,67172
 193,14;  308,058;  277,121;  406,597;23,89358
 193,74;  310,714;  274,891;  414,642;25,63394
 194,34;  311,212;  267,429;  394,312;34,50643
 194,94;  269,707;  239,352;  369,250;23,36811
 195,54;  241,804;  219,506;  349,176;17,19534
 196,14;  265,113;  240,967;  384,854;16,78136
 196,74;  270,419;  243,045;  363,077;22,80551
 197,34;  241,809;  217,889;  356,094;17,30718
 197,94;  272,041;  241,044;  380,589;22,21257
 198,54;  295,718;  257,890;  399,498;26,71301
 199,14;  260,616;  218,351;  403,167;22,86920
