
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,178;  211,495;  220,903;49,77720
 176,32;  238,906;  239,266;  234,681; 0,00000
 176,92;  287,117;  272,880;  278,464;254,96433
 177,52;  265,812;  261,034;  277,765;28,55769
 178,12;  240,258;  246,728;  239,441; 0,00000
 178,72;  282,846;  280,728;  259,868; 0,00000
 179,32;  261,510;  264,958;  256,710; 0,00000
 179,92;  277,199;  263,342;  268,977;245,91590
 180,52;  268,233;  259,879;  273,789;60,05485
 181,12;  281,343;  277,881;  256,017; 0,00000
 181,73;  298,081;  280,188;  289,375;194,77999
 182,33;  412,576;  394,264;  386,146; 0,00000
 182,93;  292,845;  288,188;  294,880;69,58671
 183,53;  258,755;  249,497;  239,413; 0,00000
 184,13;  252,274;  254,420;  244,570; 0,00000
 184,73;  301,280;  298,267;  300,295;148,55007
 185,33;  292,142;  255,507;  366,926;32,88100
 185,93;  299,710;  249,508;  376,315;39,58990
 186,53;  309,542;  254,199;  407,611;36,07473
 187,13;  318,843;  292,198;  434,377;18,74054
 187,73;  292,108;  255,584;  389,711;27,23072
 188,33;  292,617;  254,739;  382,838;29,56925
 188,93;  312,470;  262,972;  407,196;34,32073
 189,53;  307,209;  261,127;  411,282;30,68992
 190,13;  336,387;  301,206;  452,201;23,29903
 190,73;  278,210;  234,974;  381,637;29,48012
 191,34;  311,991;  263,511;  421,861;30,61555
 191,94;  300,257;  251,278;  383,915;36,92669
 192,54;  297,964;  269,043;  407,504;20,88752
 193,14;  302,534;  277,121;  406,597;19,62749
 193,74;  312,795;  274,891;  414,642;27,12276
 194,34;  306,702;  267,429;  394,312;30,95263
 194,94;  279,951;  239,352;  369,250;31,25473
 195,54;  254,560;  219,506;  349,176;27,03329
 196,14;  266,464;  240,967;  384,854;17,72016
 196,74;  273,623;  243,045;  363,077;25,47483
 197,34;  240,045;  217,889;  356,094;16,03085
 197,94;  275,602;  241,044;  380,589;24,76456
 198,54;  288,145;  257,890;  399,498;21,36544
 199,14;  253,259;  218,351;  403,167;18,88807
