
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,860;  191,519;  191,486; 0,00000
 176,32;  222,288;  226,381;  214,940; 0,00000
 176,92;  255,328;  241,524;  244,812;419,86161
 177,52;  252,087;  247,676;  245,839; 0,00000
 178,12;  228,584;  222,611;  217,278; 0,00000
 178,72;  259,873;  259,077;  248,897; 0,00000
 179,32;  245,122;  243,304;  231,741; 0,00000
 179,92;  244,706;  248,144;  237,554; 0,00000
 180,52;  234,037;  228,126;  237,935;60,26301
 181,12;  257,195;  232,682;  237,833;475,82113
 181,73;  271,825;  263,757;  264,029; 0,00000
 182,33;  341,695;  317,286;  327,322;243,21845
 182,93;  267,266;  258,060;  265,199;128,96229
 183,53;  233,242;  223,541;  225,512;492,33809
 184,13;  239,989;  226,770;  231,532;277,56773
 184,73;  266,701;  254,697;  264,670;120,36729
 185,33;  252,405;  232,099;  346,488;17,75175
 185,93;  260,673;  234,572;  343,963;23,86004
 186,53;  268,475;  246,720;  358,116;19,52994
 187,13;  302,260;  264,246;  412,664;25,61285
 187,73;  264,354;  228,801;  351,876;28,88739
 188,33;  266,577;  231,269;  359,775;27,47576
 188,93;  284,988;  241,675;  374,002;32,73181
 189,53;  275,212;  236,613;  379,198;27,07049
 190,13;  308,475;  276,331;  414,750;23,22198
 190,73;  254,945;  219,314;  352,281;26,79713
 191,34;  285,237;  248,296;  381,720;27,68667
 191,94;  250,992;  221,276;  358,118;21,71533
 192,54;  275,066;  259,775;  371,233;13,71921
 193,14;  285,759;  247,555;  368,494;31,58933
 193,74;  275,717;  243,865;  364,133;26,48467
 194,34;  275,172;  238,014;  369,577;28,24399
 194,94;  245,707;  207,324;  338,161;29,33642
 195,54;  214,149;  189,329;  331,243;17,48956
 196,14;  245,560;  216,165;  357,725;20,76545
 196,74;  237,736;  215,486;  327,390;19,88277
 197,34;  219,852;  195,926;  336,271;17,04759
 197,94;  258,799;  224,630;  362,240;24,83011
 198,54;  259,624;  226,165;  386,988;20,80521
 199,14;  237,818;  218,614;  377,550;12,08292
